Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,35.55634918610404,1.4142135623730951,0.0,0.0,C2609,C2609_000.png
0.0,33.55634918610404,0.0,0.0,0.0,C2609,C2609_001.png
0.0,19.071067811865476,0.0,0.0,0.0,C2609,C2609_002.png
0.0,46.62741699796952,5.82842712474619,0.0,0.0,C2609,C2609_003.png
0.0,42.62741699796952,7.0,0.0,0.0,C2609,C2609_004.png
0.0,50.87005768508881,1.0,0.0,0.0,C2609,C2609_005.png
0.0,32.970562748477136,0.0,0.0,0.0,C2609,C2609_006.png
0.0,34.55634918610404,0.0,0.0,0.0,C2609,C2609_007.png
0.0,57.21320343559643,0.0,0.0,0.0,C2609,C2609_008.png
0.0,49.31370849898476,0.0,0.0,0.0,C2609,C2609_009.png
0.0,47.45584412271571,8.071067811865476,0.0,0.0,C2609,C2609_010.png
0.0,63.112698372208094,2.0,0.0,0.0,C2609,C2609_011.png
0.0,16.242640687119284,0.0,0.0,0.0,C2609,C2609_012.png
0.0,26.727922061357855,0.0,0.0,0.0,C2609,C2609_013.png
0.0,13.242640687119284,0.0,0.0,0.0,C2609,C2609_014.png
0.0,10.65685424949238,0.0,0.0,0.0,C2609,C2609_015.png
0.0,31.727922061357855,0.0,0.0,0.0,C2609,C2609_016.png
0.0,37.55634918610404,1.4142135623730951,0.0,0.0,C2609,C2609_017.png
0.0,39.798989873223334,0.0,0.0,0.0,C2609,C2609_018.png
0.0,36.55634918610404,1.4142135623730951,0.0,0.0,C2609,C2609_019.png
0.0,44.384776310850235,0.0,0.0,0.0,C2609,C2609_020.png
0.0,27.31370849898476,1.0,0.0,0.0,C2609,C2609_021.png
0.0,31.727922061357855,3.414213562373095,0.0,0.0,C2609,C2609_022.png
0.0,58.8700576850888,0.0,0.0,0.0,C2609,C2609_023.png
0.0,42.14213562373095,1.4142135623730951,0.0,0.0,C2609,C2609_024.png
0.0,25.556349186104047,0.0,0.0,0.0,C2609,C2609_025.png
0.0,25.727922061357855,0.0,0.0,0.0,C2609,C2609_026.png
0.0,24.48528137423857,0.0,0.0,0.0,C2609,C2609_027.png
0.0,53.8700576850888,0.0,0.0,0.0,C2609,C2609_028.png
0.0,47.04163056034262,0.0,0.0,0.0,C2609,C2609_029.png
0.0,29.727922061357855,8.242640687119286,0.0,0.0,C2609,C2609_030.png
0.0,53.698484809834994,7.242640687119285,0.0,0.0,C2609,C2609_031.png
0.0,70.35533905932738,4.242640687119286,0.0,0.0,C2609,C2609_032.png
0.0,52.8700576850888,7.242640687119285,0.0,0.0,C2609,C2609_033.png
0.0,57.87005768508881,5.414213562373095,0.0,0.0,C2609,C2609_034.png
0.0,52.21320343559643,0.0,0.0,0.0,C2609,C2609_035.png
0.0,19.48528137423857,4.414213562373095,0.0,0.0,C2609,C2609_036.png
0.0,41.97056274847714,3.82842712474619,0.0,0.0,C2609,C2609_037.png
0.0,26.31370849898476,19.142135623730947,0.0,0.0,C2609,C2609_038.png
0.0,16.242640687119284,16.48528137423857,0.0,0.0,C2609,C2609_039.png
0.0,44.45584412271571,7.82842712474619,0.0,0.0,C2609,C2609_040.png
0.0,34.72792206135785,0.0,0.0,0.0,C2609,C2609_041.png
0.0,42.62741699796952,10.071067811865476,0.0,0.0,C2609,C2609_042.png
0.0,58.8700576850888,6.656854249492381,0.0,0.0,C2609,C2609_043.png
0.0,93.18376618407358,0.0,0.0,0.0,C2609,C2609_044.png
0.0,79.25483399593904,5.82842712474619,0.0,0.0,C2609,C2609_045.png
0.0,63.2842712474619,29.041630560342615,0.0,0.0,C2609,C2609_046.png
0.0,77.698484809835,20.071067811865476,0.0,0.0,C2609,C2609_047.png
0.0,52.04163056034262,15.48528137423857,0.0,0.0,C2609,C2609_048.png
0.0,67.42640687119285,0.0,0.0,0.0,C2609,C2609_049.png
0.0,50.112698372208094,0.0,0.0,0.0,C2609,C2609_050.png
0.0,24.899494936611667,16.31370849898476,0.0,0.0,C2609,C2609_051.png
0.0,65.04163056034261,43.45584412271572,0.0,0.0,C2609,C2609_052.png
0.0,77.11269837220809,16.485281374238568,0.0,0.0,C2609,C2609_053.png
0.0,57.62741699796952,22.14213562373095,0.0,0.0,C2609,C2609_054.png
0.0,52.97056274847714,18.071067811865476,0.0,0.0,C2609,C2609_055.png
0.0,97.42640687119285,15.313708498984761,0.0,0.0,C2609,C2609_056.png
0.0,86.698484809835,1.4142135623730951,0.0,0.0,C2609,C2609_057.png
0.0,88.84062043356595,5.242640687119285,0.0,0.0,C2609,C2609_058.png
0.0,73.52691193458118,1.0,0.0,0.0,C2609,C2609_059.png
0.0,38.55634918610404,8.242640687119286,0.0,0.0,C2609,C2609_060.png
0.0,27.242640687119284,4.414213562373095,0.0,0.0,C2609,C2609_061.png
0.0,19.82842712474619,0.0,0.0,0.0,C2609,C2609_062.png
0.0,13.242640687119286,0.0,0.0,0.0,C2609,C2609_063.png
