soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,253,0.0,427.5391052434009,4.242640687119286,0.0,0.0
C2003,354,0.0,841.0487732352791,0.0,0.0,0.0
C2609,484,0.0,3365.1067811865473,65.22539674441619,0.0,0.0
C2803,458,0.0,2072.0803025278547,30.45584412271571,0.0,0.0
C5608,456,0.0,2297.6316010800756,30.45584412271571,0.0,0.0
C6405,433,0.0,1786.8498551495554,27.041630560342618,0.0,0.0
S1510,403,0.0,1318.4873734152918,32.87005768508881,0.0,0.0
S1919,397,0.0,1331.5168106668145,2.8284271247461903,0.0,0.0
S2307,454,0.0,2430.050865276332,23.62741699796952,0.0,0.0
S2403,434,0.0,1964.3229432149742,37.76955262170047,0.0,0.0
S3117,470,0.0,3025.3372285648466,86.88225099390857,0.0,0.0
S3603,440,0.0,1740.1097397793778,44.76955262170048,0.0,0.0
