Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,14.65685424949238,0.0,0.0,0.0,C2609,C2609_004.png
0.0,33.55634918610404,0.0,0.0,0.0,C2609,C2609_005.png
0.0,82.18376618407356,0.0,0.0,0.0,C2609,C2609_006.png
0.0,94.84062043356595,4.414213562373095,0.0,0.0,C2609,C2609_007.png
0.0,126.25483399593904,3.414213562373095,0.0,0.0,C2609,C2609_008.png
0.0,130.63961030678928,1.4142135623730951,0.0,0.0,C2609,C2609_009.png
0.0,150.29646455628165,1.4142135623730951,0.0,0.0,C2609,C2609_010.png
0.0,150.02438661763952,3.8284271247461903,0.0,0.0,C2609,C2609_011.png
0.0,178.6812408671319,2.414213562373095,0.0,0.0,C2609,C2609_012.png
0.0,172.8528137423857,1.4142135623730951,0.0,0.0,C2609,C2609_013.png
0.0,216.89444430272832,6.65685424949238,0.0,0.0,C2609,C2609_014.png
0.0,199.16652224137047,4.82842712474619,0.0,0.0,C2609,C2609_015.png
0.0,173.19595949289334,2.0,0.0,0.0,C2609,C2609_016.png
0.0,198.61017305526642,8.65685424949238,0.0,0.0,C2609,C2609_017.png
0.0,31.556349186104047,6.656854249492381,0.0,0.0,C2609,C2609_018.png
0.0,62.112698372208094,4.82842712474619,0.0,0.0,C2609,C2609_019.png
0.0,91.76955262170047,0.0,0.0,0.0,C2609,C2609_020.png
0.0,196.58073580374355,2.8284271247461903,0.0,0.0,C2609,C2609_021.png
0.0,232.23759005323595,2.414213562373095,0.0,0.0,C2609,C2609_022.png
0.0,254.30865786510142,3.414213562373095,0.0,0.0,C2609,C2609_023.png
0.0,245.9655121145938,8.65685424949238,0.0,0.0,C2609,C2609_024.png
0.0,256.58073580374355,11.242640687119286,0.0,0.0,C2609,C2609_025.png
0.0,262.48023074035524,17.485281374238568,0.0,0.0,C2609,C2609_026.png
0.0,291.03657992645924,17.899494936611667,0.0,0.0,C2609,C2609_027.png
0.0,280.4213562373095,19.071067811865476,0.0,0.0,C2609,C2609_028.png
0.0,275.79393923934,15.899494936611664,0.0,0.0,C2609,C2609_029.png
0.0,271.2081528017131,5.242640687119286,0.0,0.0,C2609,C2609_030.png
0.0,289.76450198781714,7.242640687119285,0.0,0.0,C2609,C2609_031.png
0.0,273.9655121145938,6.82842712474619,0.0,0.0,C2609,C2609_032.png
0.0,280.0365799264593,6.414213562373095,0.0,0.0,C2609,C2609_033.png
0.0,263.37972567696687,7.242640687119285,0.0,0.0,C2609,C2609_034.png
0.0,299.8355697996826,9.242640687119284,0.0,0.0,C2609,C2609_035.png
0.0,283.2375900532359,8.242640687119284,0.0,0.0,C2609,C2609_036.png
0.0,273.40916292848976,12.313708498984761,0.0,0.0,C2609,C2609_037.png
0.0,356.32085117392114,7.65685424949238,0.0,0.0,C2609,C2609_038.png
0.0,361.73506473629425,3.82842712474619,0.0,0.0,C2609,C2609_039.png
0.0,365.86500705120545,21.556349186104043,0.0,0.0,C2609,C2609_040.png
0.0,366.63455967290594,14.48528137423857,0.0,0.0,C2609,C2609_041.png
0.0,360.63455967290594,9.65685424949238,0.0,0.0,C2609,C2609_042.png
0.0,328.97770542341357,17.485281374238568,0.0,0.0,C2609,C2609_043.png
0.0,343.22034611053283,8.65685424949238,0.0,0.0,C2609,C2609_044.png
0.0,323.492424049175,9.071067811865476,0.0,0.0,C2609,C2609_045.png
0.0,332.492424049175,6.65685424949238,0.0,0.0,C2609,C2609_046.png
0.0,373.7056274847714,11.65685424949238,0.0,0.0,C2609,C2609_047.png
0.0,417.01933598375615,9.48528137423857,0.0,0.0,C2609,C2609_048.png
0.0,438.3746750430835,17.071067811865476,0.0,0.0,C2609,C2609_049.png
0.0,377.9482681718907,20.899494936611667,0.0,0.0,C2609,C2609_050.png
0.0,360.2914139223983,21.142135623730947,0.0,0.0,C2609,C2609_051.png
0.0,381.747258045114,9.071067811865476,0.0,0.0,C2609,C2609_052.png
0.0,415.1614716074871,14.48528137423857,0.0,0.0,C2609,C2609_053.png
0.0,366.3624817342638,18.485281374238568,0.0,0.0,C2609,C2609_054.png
0.0,390.60512242138304,30.384776310850235,0.0,0.0,C2609,C2609_055.png
0.0,398.43354954612926,5.0,0.0,0.0,C2609,C2609_056.png
0.0,346.9066376115481,26.384776310850235,0.0,0.0,C2609,C2609_057.png
0.0,361.9482681718907,9.071067811865476,0.0,0.0,C2609,C2609_058.png
0.0,308.35028842544403,16.31370849898476,0.0,0.0,C2609,C2609_059.png
0.0,288.03657992645924,12.48528137423857,0.0,0.0,C2609,C2609_060.png
0.0,328.32085117392114,28.79898987322333,0.0,0.0,C2609,C2609_061.png
0.0,333.73506473629425,4.82842712474619,0.0,0.0,C2609,C2609_062.png
0.0,300.5218613006978,9.071067811865476,0.0,0.0,C2609,C2609_063.png
0.0,287.69343417595167,13.899494936611667,0.0,0.0,C2609,C2609_064.png
0.0,298.69343417595167,29.79898987322333,0.0,0.0,C2609,C2609_065.png
0.0,325.69343417595167,9.65685424949238,0.0,0.0,C2609,C2609_066.png
0.0,336.8772003600252,1.4142135623730951,0.0,0.0,C2609,C2609_067.png
0.0,338.3919189857866,17.899494936611664,0.0,0.0,C2609,C2609_068.png
0.0,357.63455967290594,28.970562748477143,0.0,0.0,C2609,C2609_069.png
0.0,315.1076477383248,6.82842712474619,0.0,0.0,C2609,C2609_070.png
0.0,342.5218613006978,10.071067811865476,0.0,0.0,C2609,C2609_071.png
0.0,325.32085117392114,22.242640687119284,0.0,0.0,C2609,C2609_072.png
0.0,364.9482681718907,7.82842712474619,0.0,0.0,C2609,C2609_073.png
0.0,353.9066376115481,7.82842712474619,0.0,0.0,C2609,C2609_074.png
0.0,346.14927829866735,20.899494936611667,0.0,0.0,C2609,C2609_075.png
0.0,309.1076477383248,32.21320343559643,0.0,0.0,C2609,C2609_076.png
0.0,290.86500705120545,10.414213562373096,0.0,0.0,C2609,C2609_077.png
0.0,300.1076477383247,1.0,0.0,0.0,C2609,C2609_078.png
0.0,279.86500705120545,0.0,0.0,0.0,C2609,C2609_079.png
0.0,240.50966799187808,9.65685424949238,0.0,0.0,C2609,C2609_080.png
0.0,259.37972567696687,8.65685424949238,0.0,0.0,C2609,C2609_081.png
0.0,238.89444430272832,9.242640687119286,0.0,0.0,C2609,C2609_082.png
0.0,223.82337649086284,10.242640687119286,0.0,0.0,C2609,C2609_083.png
0.0,222.82337649086284,12.485281374238571,0.0,0.0,C2609,C2609_084.png
0.0,208.61017305526642,4.242640687119286,0.0,0.0,C2609,C2609_085.png
0.0,212.50966799187808,7.82842712474619,0.0,0.0,C2609,C2609_086.png
0.0,249.55129855222071,2.414213562373095,0.0,0.0,C2609,C2609_087.png
0.0,224.89444430272832,5.656854249492381,0.0,0.0,C2609,C2609_088.png
0.0,284.03657992645924,12.071067811865476,0.0,0.0,C2609,C2609_089.png
0.0,224.16652224137047,2.414213562373095,0.0,0.0,C2609,C2609_090.png
0.0,264.45079348883235,2.0,0.0,0.0,C2609,C2609_091.png
0.0,308.03657992645924,5.656854249492381,0.0,0.0,C2609,C2609_092.png
0.0,223.8528137423857,5.82842712474619,0.0,0.0,C2609,C2609_093.png
0.0,165.12489168102786,0.0,0.0,0.0,C2609,C2609_094.png
0.0,45.31370849898476,1.4142135623730951,0.0,0.0,C2609,C2609_095.png
0.0,243.30865786510142,3.82842712474619,0.0,0.0,C2609,C2609_096.png
0.0,191.16652224137047,0.0,0.0,0.0,C2609,C2609_097.png
0.0,150.1543289325507,4.242640687119286,0.0,0.0,C2609,C2609_098.png
0.0,112.76955262170047,0.0,0.0,0.0,C2609,C2609_099.png
0.0,118.15432893255071,0.0,0.0,0.0,C2609,C2609_100.png
0.0,115.08326112068524,0.0,0.0,0.0,C2609,C2609_101.png
0.0,128.5685424949238,0.0,0.0,0.0,C2609,C2609_102.png
0.0,89.76955262170047,0.0,0.0,0.0,C2609,C2609_103.png
0.0,94.25483399593904,0.0,0.0,0.0,C2609,C2609_104.png
0.0,81.698484809835,0.0,0.0,0.0,C2609,C2609_105.png
0.0,53.526911934581186,0.0,0.0,0.0,C2609,C2609_106.png
0.0,25.727922061357855,0.0,0.0,0.0,C2609,C2609_107.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_108.png
0.0,3.414213562373095,0.0,0.0,0.0,C2609,C2609_110.png
