Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,10.65685424949238,0.0,0.0,0.0,S2403,S2403_003.png
0.0,75.87005768508881,8.242640687119286,0.0,0.0,S2403,S2403_004.png
0.0,102.49747468305833,10.071067811865476,0.0,0.0,S2403,S2403_005.png
0.0,108.18376618407356,6.656854249492381,0.0,0.0,S2403,S2403_006.png
0.0,142.9827560572969,32.384776310850235,0.0,0.0,S2403,S2403_007.png
0.0,168.05382386916236,64.59797974644665,2.8284271247461903,0.0,S2403,S2403_008.png
0.0,186.98275605729688,79.74011537017762,0.0,0.0,S2403,S2403_009.png
0.0,202.61017305526642,72.25483399593904,0.0,0.0,S2403,S2403_010.png
0.0,172.08326112068522,101.81118318204308,1.4142135623730951,0.0,S2403,S2403_011.png
0.0,236.36753236814712,82.49747468305833,8.0,0.0,S2403,S2403_012.png
0.0,255.40916292848974,83.66904755831213,1.0,0.0,S2403,S2403_013.png
0.0,53.45584412271571,0.0,0.0,0.0,S2403,S2403_014.png
0.0,43.55634918610404,15.656854249492381,0.0,0.0,S2403,S2403_015.png
0.0,73.45584412271572,9.485281374238571,0.0,0.0,S2403,S2403_016.png
0.0,193.39696961967,49.698484809834994,2.8284271247461903,0.0,S2403,S2403_017.png
0.0,224.95331880577405,84.66904755831213,3.414213562373095,0.0,S2403,S2403_018.png
0.0,240.92388155425118,92.5685424949238,12.65685424949238,0.0,S2403,S2403_019.png
0.0,284.16652224137044,94.91168824543142,3.0,0.0,S2403,S2403_020.png
0.0,263.8528137423857,85.01219330881976,0.0,0.0,S2403,S2403_021.png
0.0,286.09545442950497,105.5685424949238,0.0,0.0,S2403,S2403_022.png
0.0,274.99494936611666,111.39696961967,5.414213562373095,0.0,S2403,S2403_023.png
0.0,304.37972567696687,109.8111831820431,2.0,0.0,S2403,S2403_024.png
0.0,321.27922061357856,89.66904755831214,5.414213562373095,0.0,S2403,S2403_025.png
0.0,268.3380951166243,124.88225099390857,10.82842712474619,0.0,S2403,S2403_026.png
0.0,242.95331880577405,171.4386001800126,5.414213562373095,0.0,S2403,S2403_027.png
0.0,289.06601717798213,174.4386001800126,0.0,0.0,S2403,S2403_028.png
0.0,312.86500705120545,116.9827560572969,0.0,0.0,S2403,S2403_029.png
0.0,294.6812408671319,117.15432893255071,5.242640687119286,0.0,S2403,S2403_030.png
0.0,302.75230867899734,65.59797974644665,6.82842712474619,0.0,S2403,S2403_031.png
0.0,272.09545442950497,96.32590180780453,0.0,0.0,S2403,S2403_032.png
0.0,240.78174593052023,121.05382386916237,0.0,0.0,S2403,S2403_033.png
0.0,320.2081528017131,93.7401153701776,0.0,0.0,S2403,S2403_034.png
0.0,288.06601717798213,86.59797974644667,6.0,0.0,S2403,S2403_035.png
0.0,289.7523086789974,100.5685424949238,0.0,0.0,S2403,S2403_036.png
0.0,296.58073580374355,120.32590180780451,4.82842712474619,0.0,S2403,S2403_037.png
0.0,267.8528137423857,137.2670273047588,2.414213562373095,0.0,S2403,S2403_038.png
0.0,316.1370849898476,118.53910524340094,1.4142135623730951,0.0,S2403,S2403_039.png
0.0,348.7228714274745,125.12489168102785,2.0,0.0,S2403,S2403_040.png
0.0,332.45079348883235,150.36753236814712,4.414213562373095,0.0,S2403,S2403_041.png
0.0,350.79393923934,149.4386001800126,3.414213562373095,0.0,S2403,S2403_042.png
0.0,309.2375900532359,170.99494936611666,5.414213562373095,0.0,S2403,S2403_043.png
0.0,320.79393923934,126.61017305526642,6.82842712474619,0.0,S2403,S2403_044.png
0.0,299.58073580374355,108.39696961966999,8.242640687119284,0.0,S2403,S2403_045.png
0.0,356.76450198781714,85.42640687119285,3.82842712474619,0.0,S2403,S2403_046.png
0.0,292.3380951166243,140.88225099390857,0.0,0.0,S2403,S2403_047.png
0.0,338.2081528017131,149.63961030678928,0.0,0.0,S2403,S2403_048.png
0.0,320.03657992645924,156.02438661763952,4.414213562373095,0.0,S2403,S2403_049.png
0.0,314.5512985522207,131.8111831820431,7.242640687119285,0.0,S2403,S2403_050.png
0.0,287.4386001800126,93.25483399593904,4.242640687119286,0.0,S2403,S2403_051.png
0.0,309.9655121145938,71.76955262170047,0.0,0.0,S2403,S2403_052.png
0.0,293.8528137423857,85.42640687119285,1.0,0.0,S2403,S2403_053.png
0.0,345.75230867899734,96.42640687119285,1.0,0.0,S2403,S2403_054.png
0.0,320.8528137423857,130.0538238691624,0.0,0.0,S2403,S2403_055.png
0.0,318.89444430272835,90.49747468305833,0.0,0.0,S2403,S2403_056.png
0.0,363.37972567696687,65.01219330881976,3.82842712474619,0.0,S2403,S2403_057.png
0.0,258.71067811865476,111.49747468305833,2.414213562373095,0.0,S2403,S2403_058.png
0.0,297.16652224137044,108.15432893255071,4.414213562373095,0.0,S2403,S2403_059.png
0.0,309.9238815542512,78.42640687119285,3.414213562373095,0.0,S2403,S2403_060.png
0.0,300.09545442950497,94.39696961966999,4.0,0.0,S2403,S2403_061.png
0.0,307.06601717798213,70.42640687119285,6.242640687119285,0.0,S2403,S2403_062.png
0.0,367.76450198781714,89.15432893255071,0.0,0.0,S2403,S2403_063.png
0.0,300.58073580374355,121.71067811865476,2.8284271247461903,0.0,S2403,S2403_064.png
0.0,333.79393923934,161.61017305526642,9.242640687119286,0.0,S2403,S2403_065.png
0.0,341.37972567696687,130.53910524340094,1.0,0.0,S2403,S2403_066.png
0.0,326.651803615609,118.36753236814714,3.0,0.0,S2403,S2403_067.png
0.0,317.7228714274745,94.32590180780451,0.0,0.0,S2403,S2403_068.png
0.0,328.99494936611666,67.01219330881976,8.414213562373096,0.0,S2403,S2403_069.png
0.0,270.5096679918781,109.74011537017762,8.414213562373096,0.0,S2403,S2403_070.png
