soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,108,0.0,19976.523655988192,4352.560025653931,61.89949493661167,0.0
C2003,94,0.0,14235.328204109574,4361.4452352406715,59.55634918610404,0.0
C2609,106,0.0,21360.016080037367,7487.37871044841,91.11269837220809,0.0
C2803,108,0.0,16020.994293075059,2526.1963184303913,15.414213562373096,0.0
C5608,105,0.0,18508.79955907144,3856.4208486230314,47.48528137423857,0.0
C6405,109,0.0,16515.597323455386,3008.451152426331,9.82842712474619,0.0
S1510,105,0.0,16862.358866850376,6334.911539568652,91.97056274847714,0.0
S1919,105,0.0,25983.90792468476,10565.180151300185,135.1126983722081,0.0
S2307,102,0.0,19117.01189595526,10100.732316404185,163.1837661840736,0.0
S2403,101,0.0,24756.984909682287,9104.534264870237,307.1076477383248,0.0
S3117,106,0.0,17476.35381621649,5018.770270496698,65.97056274847714,0.0
S3603,106,0.0,17489.409732126707,4211.6605307173195,32.31370849898476,0.0
