soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,504,0.0,19834.81261893204,9698.977049132354,345.0782104868019,9.48528137423857
C2003,504,0.0,15372.519979520364,6115.249634685276,250.6223663640862,0.0
C2609,498,0.0,14829.552375364716,8913.252085663828,453.13203435596427,13.48528137423857
C2803,507,0.0,16766.372793262748,7005.011178080263,361.32085117392114,4.82842712474619
C5608,496,0.0,14667.819402669475,7821.726040281024,291.27922061357856,17.899494936611667
C6405,490,0.0,14439.408147699933,7695.020412796252,293.37972567696687,10.65685424949238
S1510,500,0.0,11324.05158315133,7164.14826307011,481.4873734152917,16.071067811865476
S1919,502,0.0,15756.983832869792,9462.66334063337,686.4701294725885,9.65685424949238
S2307,490,0.0,11554.302233065162,6738.329937213131,442.5046173579948,5.242640687119285
S2403,500,0.0,14043.07510321719,8712.867309352978,688.8549057834389,25.798989873223334
S3117,488,0.0,14172.974598153804,7359.219330881975,640.4284989122459,18.31370849898476
S3603,496,0.0,11869.210962717765,7694.848839920998,745.7544007200504,32.384776310850235
