soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,112,0.0,26795.133829043458,7978.415290374868,267.89444430272835,4.414213562373095
C2003,99,0.0,19512.646096690667,6078.997759282167,239.92388155425118,0.0
C2609,111,0.0,22976.432026703293,7170.499418047331,274.6223663640862,5.242640687119286
C2803,112,0.0,24337.650280772774,5405.941843371951,181.61017305526642,0.0
C5608,107,0.0,23080.216731226647,5027.986432525125,138.1543289325507,0.0
C6405,108,0.0,22693.013629058816,5350.106273572269,149.9116882454314,0.0
S1510,107,0.0,19165.551508812943,6137.79674915539,185.95331880577402,2.8284271247461903
S1919,112,0.0,23709.97827462163,9928.418607905198,473.1614716074871,5.414213562373095
S2307,106,0.0,17460.446819667442,8645.270196158308,378.9360748630709,3.414213562373095
S2403,107,0.0,23215.934552020233,6806.308509188321,241.33809511662426,0.0
S3117,112,0.0,21937.50901170082,6829.403963617828,329.46298679765215,6.65685424949238
S3603,112,0.0,20776.144437925504,6804.121784411418,419.5756851698602,10.899494936611667
