Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,2.0,0.0,0.0,0.0,C1216,C1216_006.png
0.0,7.414213562373095,0.0,0.0,0.0,C1216,C1216_007.png
0.0,6.0,0.0,0.0,0.0,C1216,C1216_008.png
0.0,9.0,0.0,0.0,0.0,C1216,C1216_009.png
0.0,8.0,2.414213562373095,0.0,0.0,C1216,C1216_010.png
0.0,7.82842712474619,2.414213562373095,0.0,0.0,C1216,C1216_011.png
0.0,16.414213562373096,2.8284271247461903,0.0,0.0,C1216,C1216_012.png
0.0,20.65685424949238,1.4142135623730951,0.0,0.0,C1216,C1216_013.png
0.0,11.414213562373096,7.242640687119285,0.0,0.0,C1216,C1216_014.png
0.0,17.414213562373096,3.82842712474619,0.0,0.0,C1216,C1216_015.png
0.0,16.242640687119284,7.65685424949238,0.0,0.0,C1216,C1216_016.png
0.0,14.414213562373096,8.242640687119284,0.0,0.0,C1216,C1216_017.png
0.0,11.242640687119284,0.0,0.0,0.0,C1216,C1216_018.png
0.0,7.0,1.0,0.0,0.0,C1216,C1216_019.png
0.0,16.242640687119284,1.4142135623730951,0.0,0.0,C1216,C1216_020.png
0.0,12.414213562373096,1.4142135623730951,0.0,0.0,C1216,C1216_021.png
0.0,26.242640687119284,1.4142135623730951,0.0,0.0,C1216,C1216_022.png
0.0,21.414213562373096,0.0,0.0,0.0,C1216,C1216_023.png
0.0,27.65685424949238,6.242640687119285,0.0,0.0,C1216,C1216_024.png
0.0,21.82842712474619,3.414213562373095,0.0,0.0,C1216,C1216_025.png
0.0,29.65685424949238,2.414213562373095,0.0,0.0,C1216,C1216_026.png
0.0,30.071067811865476,0.0,0.0,0.0,C1216,C1216_027.png
0.0,33.31370849898476,9.071067811865476,0.0,0.0,C1216,C1216_028.png
0.0,51.21320343559643,13.071067811865476,0.0,0.0,C1216,C1216_029.png
0.0,45.071067811865476,7.414213562373095,0.0,0.0,C1216,C1216_030.png
0.0,26.242640687119284,6.0,0.0,0.0,C1216,C1216_031.png
0.0,54.21320343559643,10.071067811865476,0.0,0.0,C1216,C1216_032.png
0.0,65.21320343559643,5.242640687119286,0.0,0.0,C1216,C1216_033.png
0.0,55.384776310850235,6.82842712474619,0.0,0.0,C1216,C1216_034.png
0.0,33.89949493661167,0.0,0.0,0.0,C1216,C1216_035.png
0.0,31.071067811865476,15.485281374238571,0.0,0.0,C1216,C1216_036.png
0.0,47.72792206135786,15.727922061357855,0.0,0.0,C1216,C1216_037.png
0.0,51.14213562373095,6.82842712474619,0.0,0.0,C1216,C1216_038.png
0.0,46.72792206135785,1.4142135623730951,0.0,0.0,C1216,C1216_039.png
0.0,55.62741699796952,5.0,0.0,0.0,C1216,C1216_040.png
0.0,33.071067811865476,3.8284271247461903,0.0,0.0,C1216,C1216_041.png
0.0,37.242640687119284,3.0,0.0,0.0,C1216,C1216_042.png
0.0,23.65685424949238,0.0,0.0,0.0,C1216,C1216_043.png
0.0,21.242640687119284,13.65685424949238,0.0,0.0,C1216,C1216_044.png
0.0,26.48528137423857,8.071067811865476,0.0,0.0,C1216,C1216_045.png
0.0,41.89949493661167,3.82842712474619,0.0,0.0,C1216,C1216_046.png
0.0,43.14213562373095,6.242640687119285,0.0,0.0,C1216,C1216_047.png
0.0,44.071067811865476,12.071067811865476,0.0,0.0,C1216,C1216_048.png
0.0,37.82842712474619,0.0,0.0,0.0,C1216,C1216_049.png
0.0,53.31370849898476,0.0,0.0,0.0,C1216,C1216_050.png
0.0,44.72792206135785,1.4142135623730951,0.0,0.0,C1216,C1216_051.png
0.0,51.55634918610404,11.071067811865476,0.0,0.0,C1216,C1216_052.png
0.0,54.48528137423857,14.485281374238571,0.0,0.0,C1216,C1216_053.png
0.0,54.72792206135785,2.8284271247461903,0.0,0.0,C1216,C1216_054.png
0.0,45.31370849898476,6.656854249492381,0.0,0.0,C1216,C1216_055.png
0.0,49.14213562373095,10.485281374238571,0.0,0.0,C1216,C1216_056.png
0.0,48.55634918610404,0.0,0.0,0.0,C1216,C1216_057.png
0.0,43.071067811865476,6.242640687119285,0.0,0.0,C1216,C1216_058.png
0.0,28.242640687119284,8.414213562373096,0.0,0.0,C1216,C1216_059.png
0.0,43.89949493661167,10.65685424949238,0.0,0.0,C1216,C1216_060.png
0.0,45.89949493661167,14.727922061357859,0.0,0.0,C1216,C1216_061.png
0.0,37.071067811865476,30.798989873223338,0.0,0.0,C1216,C1216_062.png
0.0,46.14213562373095,10.071067811865476,0.0,0.0,C1216,C1216_063.png
0.0,50.14213562373095,11.242640687119284,0.0,0.0,C1216,C1216_064.png
0.0,47.72792206135786,2.414213562373095,0.0,0.0,C1216,C1216_065.png
0.0,43.89949493661167,21.899494936611664,0.0,0.0,C1216,C1216_066.png
0.0,51.89949493661167,10.242640687119286,0.0,0.0,C1216,C1216_067.png
0.0,52.31370849898476,18.727922061357855,0.0,0.0,C1216,C1216_068.png
0.0,44.384776310850235,3.8284271247461903,0.0,0.0,C1216,C1216_069.png
0.0,49.31370849898476,5.82842712474619,0.0,0.0,C1216,C1216_070.png
0.0,30.65685424949238,7.242640687119285,0.0,0.0,C1216,C1216_071.png
0.0,47.384776310850235,2.414213562373095,0.0,0.0,C1216,C1216_072.png
0.0,43.89949493661167,4.414213562373095,0.0,0.0,C1216,C1216_073.png
0.0,57.21320343559643,11.242640687119284,0.0,0.0,C1216,C1216_074.png
0.0,34.89949493661167,3.0,0.0,0.0,C1216,C1216_075.png
0.0,46.72792206135785,0.0,0.0,0.0,C1216,C1216_076.png
0.0,56.87005768508881,0.0,0.0,0.0,C1216,C1216_077.png
0.0,40.071067811865476,14.727922061357855,0.0,0.0,C1216,C1216_078.png
0.0,38.48528137423857,12.071067811865476,0.0,0.0,C1216,C1216_079.png
0.0,38.242640687119284,10.899494936611665,0.0,0.0,C1216,C1216_080.png
0.0,31.899494936611664,5.82842712474619,0.0,0.0,C1216,C1216_081.png
0.0,42.31370849898476,5.82842712474619,0.0,0.0,C1216,C1216_082.png
0.0,36.65685424949238,10.65685424949238,0.0,0.0,C1216,C1216_083.png
0.0,52.48528137423857,8.242640687119284,4.0,0.0,C1216,C1216_084.png
0.0,43.48528137423857,10.071067811865476,0.0,0.0,C1216,C1216_085.png
0.0,55.14213562373095,1.4142135623730951,0.0,0.0,C1216,C1216_086.png
0.0,30.414213562373096,0.0,0.0,0.0,C1216,C1216_087.png
0.0,37.242640687119284,4.414213562373095,0.0,0.0,C1216,C1216_088.png
0.0,25.242640687119284,0.0,0.0,0.0,C1216,C1216_089.png
0.0,25.82842712474619,2.414213562373095,0.0,0.0,C1216,C1216_090.png
0.0,18.82842712474619,12.071067811865476,0.0,0.0,C1216,C1216_091.png
0.0,19.242640687119284,5.82842712474619,0.0,0.0,C1216,C1216_092.png
0.0,13.242640687119284,0.0,0.0,0.0,C1216,C1216_093.png
0.0,15.82842712474619,0.0,0.0,0.0,C1216,C1216_094.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_095.png
0.0,38.071067811865476,0.0,0.0,0.0,C1216,C1216_096.png
0.0,29.82842712474619,0.0,0.0,0.0,C1216,C1216_097.png
0.0,25.414213562373096,0.0,0.0,0.0,C1216,C1216_098.png
0.0,17.414213562373096,0.0,0.0,0.0,C1216,C1216_099.png
0.0,21.414213562373096,0.0,0.0,0.0,C1216,C1216_100.png
0.0,14.0,0.0,0.0,0.0,C1216,C1216_101.png
0.0,16.242640687119284,2.414213562373095,0.0,0.0,C1216,C1216_102.png
0.0,11.82842712474619,4.82842712474619,0.0,0.0,C1216,C1216_103.png
0.0,18.82842712474619,3.8284271247461903,0.0,0.0,C1216,C1216_104.png
0.0,12.414213562373096,0.0,0.0,0.0,C1216,C1216_105.png
0.0,14.242640687119286,0.0,0.0,0.0,C1216,C1216_106.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_108.png
