Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,4.0,0.0,0.0,0.0,S3117,S3117_008.png
0.0,3.0,0.0,0.0,0.0,S3117,S3117_009.png
0.0,3.0,0.0,0.0,0.0,S3117,S3117_010.png
0.0,2.414213562373095,0.0,0.0,0.0,S3117,S3117_011.png
0.0,2.0,0.0,0.0,0.0,S3117,S3117_012.png
0.0,1.4142135623730951,0.0,0.0,0.0,S3117,S3117_013.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_014.png
0.0,5.82842712474619,0.0,0.0,0.0,S3117,S3117_015.png
0.0,2.414213562373095,0.0,0.0,0.0,S3117,S3117_018.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_019.png
0.0,3.8284271247461903,0.0,0.0,0.0,S3117,S3117_020.png
0.0,3.414213562373095,1.0,0.0,0.0,S3117,S3117_021.png
0.0,2.0,0.0,0.0,0.0,S3117,S3117_022.png
0.0,2.0,0.0,0.0,0.0,S3117,S3117_023.png
0.0,4.0,0.0,0.0,0.0,S3117,S3117_024.png
0.0,10.82842712474619,0.0,0.0,0.0,S3117,S3117_025.png
0.0,8.0,0.0,0.0,0.0,S3117,S3117_026.png
0.0,18.82842712474619,0.0,0.0,0.0,S3117,S3117_027.png
0.0,20.899494936611667,1.0,0.0,0.0,S3117,S3117_028.png
0.0,13.242640687119286,7.242640687119285,0.0,0.0,S3117,S3117_029.png
0.0,17.899494936611667,0.0,0.0,0.0,S3117,S3117_030.png
0.0,5.414213562373095,1.4142135623730951,0.0,0.0,S3117,S3117_031.png
0.0,4.0,1.0,0.0,0.0,S3117,S3117_032.png
0.0,8.82842712474619,0.0,0.0,0.0,S3117,S3117_033.png
0.0,7.414213562373095,0.0,0.0,0.0,S3117,S3117_034.png
0.0,2.0,1.4142135623730951,0.0,0.0,S3117,S3117_035.png
0.0,3.0,0.0,0.0,0.0,S3117,S3117_036.png
0.0,3.414213562373095,0.0,0.0,0.0,S3117,S3117_037.png
0.0,6.0,0.0,0.0,0.0,S3117,S3117_038.png
0.0,2.0,0.0,0.0,0.0,S3117,S3117_039.png
0.0,2.414213562373095,0.0,0.0,0.0,S3117,S3117_040.png
0.0,4.0,0.0,0.0,0.0,S3117,S3117_041.png
0.0,3.0,0.0,0.0,0.0,S3117,S3117_042.png
0.0,2.414213562373095,0.0,0.0,0.0,S3117,S3117_043.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_044.png
0.0,5.414213562373095,0.0,0.0,0.0,S3117,S3117_045.png
0.0,2.8284271247461903,0.0,0.0,0.0,S3117,S3117_046.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_047.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_048.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_049.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_051.png
0.0,4.82842712474619,0.0,0.0,0.0,S3117,S3117_052.png
0.0,4.414213562373095,0.0,0.0,0.0,S3117,S3117_053.png
0.0,5.414213562373095,0.0,0.0,0.0,S3117,S3117_054.png
0.0,4.0,0.0,0.0,0.0,S3117,S3117_055.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_056.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_057.png
0.0,2.0,0.0,0.0,0.0,S3117,S3117_058.png
0.0,2.0,0.0,0.0,0.0,S3117,S3117_059.png
0.0,2.0,0.0,0.0,0.0,S3117,S3117_060.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_061.png
0.0,4.0,0.0,0.0,0.0,S3117,S3117_062.png
0.0,23.242640687119284,0.0,0.0,0.0,S3117,S3117_063.png
0.0,10.414213562373096,0.0,0.0,0.0,S3117,S3117_064.png
0.0,4.0,0.0,0.0,0.0,S3117,S3117_066.png
0.0,5.414213562373095,0.0,0.0,0.0,S3117,S3117_067.png
0.0,3.414213562373095,0.0,0.0,0.0,S3117,S3117_068.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_069.png
0.0,6.0,0.0,0.0,0.0,S3117,S3117_070.png
0.0,5.0,0.0,0.0,0.0,S3117,S3117_071.png
0.0,9.82842712474619,0.0,0.0,0.0,S3117,S3117_072.png
0.0,6.0,0.0,0.0,0.0,S3117,S3117_073.png
0.0,5.0,0.0,0.0,0.0,S3117,S3117_074.png
0.0,3.0,0.0,0.0,0.0,S3117,S3117_075.png
0.0,5.414213562373095,0.0,0.0,0.0,S3117,S3117_076.png
0.0,6.414213562373095,0.0,0.0,0.0,S3117,S3117_077.png
0.0,8.656854249492381,0.0,0.0,0.0,S3117,S3117_078.png
0.0,10.65685424949238,0.0,0.0,0.0,S3117,S3117_079.png
0.0,6.82842712474619,0.0,0.0,0.0,S3117,S3117_080.png
0.0,8.82842712474619,0.0,0.0,0.0,S3117,S3117_081.png
0.0,13.071067811865476,0.0,0.0,0.0,S3117,S3117_082.png
0.0,3.0,2.8284271247461903,0.0,0.0,S3117,S3117_083.png
0.0,11.242640687119286,0.0,0.0,0.0,S3117,S3117_084.png
0.0,2.414213562373095,0.0,0.0,0.0,S3117,S3117_086.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_087.png
0.0,6.414213562373095,0.0,0.0,0.0,S3117,S3117_088.png
0.0,6.0,0.0,0.0,0.0,S3117,S3117_089.png
0.0,2.0,0.0,0.0,0.0,S3117,S3117_090.png
0.0,6.82842712474619,0.0,0.0,0.0,S3117,S3117_091.png
0.0,2.0,0.0,0.0,0.0,S3117,S3117_092.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_093.png
0.0,8.82842712474619,0.0,0.0,0.0,S3117,S3117_096.png
0.0,5.414213562373095,0.0,0.0,0.0,S3117,S3117_097.png
0.0,9.82842712474619,0.0,0.0,0.0,S3117,S3117_098.png
0.0,17.48528137423857,0.0,0.0,0.0,S3117,S3117_099.png
0.0,28.384776310850235,0.0,0.0,0.0,S3117,S3117_100.png
0.0,7.656854249492381,0.0,0.0,0.0,S3117,S3117_101.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_102.png
