Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,5.0,0.0,0.0,0.0,S1510,S1510_000.png
0.0,8.0,0.0,0.0,0.0,S1510,S1510_001.png
0.0,5.242640687119286,0.0,0.0,0.0,S1510,S1510_002.png
0.0,5.242640687119286,0.0,0.0,0.0,S1510,S1510_003.png
0.0,30.242640687119284,0.0,0.0,0.0,S1510,S1510_004.png
0.0,52.0,3.0,0.0,0.0,S1510,S1510_005.png
0.0,76.14213562373095,6.65685424949238,0.0,0.0,S1510,S1510_006.png
0.0,47.48528137423857,17.242640687119284,0.0,0.0,S1510,S1510_007.png
0.0,69.72792206135786,19.071067811865476,0.0,0.0,S1510,S1510_008.png
0.0,77.72792206135786,30.14213562373095,5.242640687119285,0.0,S1510,S1510_009.png
0.0,85.14213562373095,30.727922061357855,4.82842712474619,0.0,S1510,S1510_010.png
0.0,83.62741699796952,29.97056274847714,0.0,0.0,S1510,S1510_011.png
0.0,106.79898987322333,34.31370849898476,0.0,0.0,S1510,S1510_012.png
0.0,123.52691193458118,37.384776310850235,0.0,0.0,S1510,S1510_013.png
0.0,73.87005768508881,68.698484809835,4.82842712474619,0.0,S1510,S1510_014.png
0.0,141.01219330881975,52.45584412271571,0.0,0.0,S1510,S1510_015.png
0.0,180.59797974644667,53.79898987322333,5.0,0.0,S1510,S1510_016.png
0.0,159.42640687119285,29.970562748477143,6.0,0.0,S1510,S1510_017.png
0.0,164.25483399593904,45.627416997969526,2.0,0.0,S1510,S1510_018.png
0.0,172.08326112068522,47.62741699796952,2.0,0.0,S1510,S1510_019.png
0.0,176.08326112068522,76.18376618407356,0.0,0.0,S1510,S1510_020.png
0.0,162.49747468305833,92.49747468305833,4.82842712474619,0.0,S1510,S1510_021.png
0.0,162.25483399593904,64.01219330881976,3.82842712474619,0.0,S1510,S1510_022.png
0.0,156.18376618407356,72.66904755831214,0.0,0.0,S1510,S1510_023.png
0.0,162.59797974644667,62.76955262170047,0.0,0.0,S1510,S1510_024.png
0.0,199.1543289325507,41.62741699796952,0.0,0.0,S1510,S1510_025.png
0.0,228.8111831820431,46.698484809834994,0.0,0.0,S1510,S1510_026.png
0.0,170.76955262170048,72.94112549695429,1.0,0.0,S1510,S1510_027.png
0.0,219.71067811865476,87.84062043356595,0.0,0.0,S1510,S1510_028.png
0.0,239.22539674441617,72.1126983722081,0.0,0.0,S1510,S1510_029.png
0.0,240.5685424949238,83.42640687119285,21.899494936611667,0.0,S1510,S1510_030.png
