soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,112,0.0,26791.962256168204,7976.415290374869,267.89444430272835,4.414213562373095
C2003,99,0.0,19498.91817462931,6084.654613531659,240.92388155425118,0.0
C2609,111,0.0,22965.360958891426,7174.499418047331,273.2081528017131,5.242640687119286
C2803,112,0.0,24316.579212960907,5402.941843371952,183.02438661763952,0.0
C5608,107,0.0,23100.116226163256,5013.329578275632,138.1543289325507,0.0
C6405,108,0.0,22705.842056183563,5343.277846447522,149.9116882454314,0.0
S1510,107,0.0,19159.865217311923,6135.382535593018,185.95331880577402,2.8284271247461903
S1919,112,0.0,23685.250352560273,9928.004394342825,473.1614716074871,5.414213562373095
S2307,106,0.0,17463.689460354566,8643.855982595935,378.9360748630709,3.414213562373095
S2403,107,0.0,23213.834046956843,6817.55114987544,241.33809511662426,0.0
S3117,112,0.0,21941.75165238794,6831.161322930707,321.8061325481598,6.65685424949238
S3603,112,0.0,20786.387078612624,6802.535997973791,418.5756851698602,10.899494936611667
