Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,1.0,0.0,0.0,0.0,C2003,C2003_020.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_021.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_022.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_025.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_026.png
0.0,4.414213562373095,0.0,0.0,0.0,C2003,C2003_027.png
0.0,3.0,0.0,0.0,0.0,C2003,C2003_029.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_030.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_034.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_035.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_044.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_045.png
0.0,3.414213562373095,0.0,0.0,0.0,C2003,C2003_048.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_049.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_052.png
0.0,2.0,0.0,0.0,0.0,C2003,C2003_055.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_058.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_060.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_064.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_068.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_070.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_071.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_076.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_078.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_079.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_084.png
