Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,1.0,0.0,0.0,0.0,S1510,S1510_016.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_034.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_046.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_047.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_056.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_058.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_059.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_060.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_067.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_068.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_069.png
0.0,1.4142135623730951,0.0,0.0,0.0,S1510,S1510_072.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_073.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_076.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_077.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_078.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_079.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_080.png
