Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,7.0,0.0,0.0,0.0,C1216,C1216_001.png
0.0,16.414213562373096,0.0,0.0,0.0,C1216,C1216_002.png
0.0,14.0,0.0,0.0,0.0,C1216,C1216_003.png
0.0,23.071067811865476,0.0,0.0,0.0,C1216,C1216_004.png
0.0,23.48528137423857,0.0,0.0,0.0,C1216,C1216_005.png
0.0,90.01219330881976,5.82842712474619,0.0,0.0,C1216,C1216_006.png
0.0,166.29646455628165,1.4142135623730951,0.0,0.0,C1216,C1216_007.png
0.0,174.61017305526642,4.82842712474619,0.0,0.0,C1216,C1216_008.png
0.0,134.8111831820431,1.4142135623730951,0.0,0.0,C1216,C1216_009.png
0.0,153.1543289325507,3.82842712474619,0.0,0.0,C1216,C1216_010.png
0.0,165.98275605729688,0.0,0.0,0.0,C1216,C1216_011.png
0.0,172.4386001800126,4.242640687119286,0.0,0.0,C1216,C1216_012.png
0.0,165.12489168102783,5.242640687119285,0.0,0.0,C1216,C1216_013.png
0.0,185.26702730475878,2.414213562373095,0.0,0.0,C1216,C1216_014.png
0.0,156.88225099390857,2.414213562373095,0.0,0.0,C1216,C1216_015.png
0.0,199.92388155425118,1.4142135623730951,0.0,0.0,C1216,C1216_016.png
0.0,213.7228714274745,0.0,0.0,0.0,C1216,C1216_017.png
0.0,177.8528137423857,7.65685424949238,0.0,0.0,C1216,C1216_018.png
0.0,145.3259018078045,13.899494936611667,0.0,0.0,C1216,C1216_019.png
0.0,161.36753236814712,9.82842712474619,0.0,0.0,C1216,C1216_020.png
0.0,155.91168824543144,22.313708498984763,0.0,0.0,C1216,C1216_021.png
0.0,247.65180361560903,4.242640687119286,0.0,0.0,C1216,C1216_022.png
0.0,227.7228714274745,14.485281374238571,0.0,0.0,C1216,C1216_023.png
0.0,277.45079348883235,22.899494936611664,0.0,0.0,C1216,C1216_024.png
0.0,334.97770542341357,4.414213562373095,0.0,0.0,C1216,C1216_025.png
0.0,341.01933598375615,24.72792206135786,0.0,0.0,C1216,C1216_026.png
0.0,291.2497833620557,29.384776310850235,0.0,0.0,C1216,C1216_027.png
0.0,339.73506473629425,5.82842712474619,0.0,0.0,C1216,C1216_028.png
0.0,381.0904037956216,30.97056274847714,0.0,0.0,C1216,C1216_029.png
0.0,432.445742854949,26.384776310850235,0.0,0.0,C1216,C1216_030.png
0.0,446.445742854949,33.21320343559643,0.0,0.0,C1216,C1216_031.png
0.0,529.8010819142764,24.556349186104047,0.0,0.0,C1216,C1216_032.png
0.0,447.10259710444143,23.14213562373095,3.82842712474619,0.0,C1216,C1216_033.png
0.0,444.0609665440988,27.384776310850235,0.0,0.0,C1216,C1216_034.png
0.0,459.445742854949,21.14213562373095,0.0,0.0,C1216,C1216_035.png
0.0,441.71782079359116,11.071067811865476,0.0,0.0,C1216,C1216_036.png
0.0,406.13203435596427,6.242640687119285,0.0,0.0,C1216,C1216_037.png
0.0,407.4751801064719,8.071067811865476,0.0,0.0,C1216,C1216_038.png
0.0,425.30360723121805,11.65685424949238,0.0,0.0,C1216,C1216_039.png
0.0,482.00209204105306,18.14213562373095,0.0,0.0,C1216,C1216_040.png
0.0,383.1614716074871,12.242640687119286,0.0,0.0,C1216,C1216_041.png
0.0,424.2325394193526,23.31370849898476,0.0,0.0,C1216,C1216_042.png
0.0,383.01933598375615,15.899494936611664,0.0,0.0,C1216,C1216_043.png
0.0,461.20310216782974,7.65685424949238,0.0,0.0,C1216,C1216_044.png
0.0,375.9482681718907,9.65685424949238,0.0,0.0,C1216,C1216_045.png
0.0,439.1614716074871,28.79898987322333,0.0,0.0,C1216,C1216_046.png
0.0,462.71782079359116,16.65685424949238,0.0,0.0,C1216,C1216_047.png
0.0,517.7300141024109,24.14213562373095,0.0,0.0,C1216,C1216_048.png
0.0,487.445742854949,9.65685424949238,1.0,0.0,C1216,C1216_049.png
0.0,510.445742854949,25.556349186104047,0.0,0.0,C1216,C1216_050.png
0.0,528.1147904132612,19.899494936611667,0.0,0.0,C1216,C1216_051.png
0.0,561.3574311003804,48.698484809834994,0.0,0.0,C1216,C1216_052.png
0.0,437.2325394193526,51.8700576850888,0.0,0.0,C1216,C1216_053.png
0.0,499.17366491630685,19.899494936611667,0.0,0.0,C1216,C1216_054.png
0.0,423.6467529817257,21.72792206135786,0.0,0.0,C1216,C1216_055.png
0.0,474.6883835420683,7.82842712474619,0.0,0.0,C1216,C1216_056.png
0.0,381.84776310850236,3.0,0.0,0.0,C1216,C1216_057.png
0.0,423.91883092036784,16.31370849898476,0.0,0.0,C1216,C1216_058.png
0.0,361.14927829866735,21.727922061357855,0.0,0.0,C1216,C1216_059.png
0.0,477.8599564173221,21.14213562373095,0.0,0.0,C1216,C1216_060.png
0.0,409.1614716074871,12.48528137423857,0.0,0.0,C1216,C1216_061.png
0.0,412.3624817342638,18.899494936611664,0.0,0.0,C1216,C1216_062.png
0.0,408.01933598375615,34.21320343559643,0.0,0.0,C1216,C1216_063.png
0.0,428.33304448274095,34.55634918610404,0.0,0.0,C1216,C1216_064.png
0.0,539.1736649163068,19.899494936611664,0.0,0.0,C1216,C1216_065.png
0.0,486.30360723121805,21.970562748477143,0.0,0.0,C1216,C1216_066.png
0.0,483.7594513539338,18.899494936611667,0.0,0.0,C1216,C1216_067.png
0.0,445.5756851698602,28.97056274847714,1.0,0.0,C1216,C1216_068.png
0.0,470.0315292925759,6.82842712474619,0.0,0.0,C1216,C1216_069.png
0.0,484.2325394193526,25.556349186104043,0.0,0.0,C1216,C1216_070.png
0.0,472.20310216782974,18.485281374238568,0.0,0.0,C1216,C1216_071.png
0.0,490.5168106668145,2.414213562373095,0.0,0.0,C1216,C1216_072.png
0.0,445.8599564173221,28.727922061357855,0.0,0.0,C1216,C1216_073.png
