Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,116.82842712474618,0.0,0.0,0.0,S3117,S3117_001.png
0.0,42.48528137423857,4.0,0.0,0.0,S3117,S3117_002.png
0.0,17.242640687119284,1.0,0.0,0.0,S3117,S3117_003.png
0.0,24.48528137423857,0.0,0.0,0.0,S3117,S3117_004.png
0.0,41.384776310850235,0.0,0.0,0.0,S3117,S3117_005.png
0.0,114.91168824543142,1.4142135623730951,0.0,0.0,S3117,S3117_006.png
0.0,159.36753236814712,19.727922061357855,0.0,0.0,S3117,S3117_007.png
0.0,200.095454429505,11.65685424949238,0.0,0.0,S3117,S3117_008.png
0.0,221.40916292848974,9.242640687119286,0.0,0.0,S3117,S3117_009.png
0.0,210.65180361560903,2.414213562373095,0.0,0.0,S3117,S3117_010.png
0.0,175.1959594928933,13.071067811865476,0.0,0.0,S3117,S3117_011.png
0.0,172.1959594928933,2.8284271247461903,0.0,0.0,S3117,S3117_012.png
0.0,193.50966799187808,3.414213562373095,0.0,0.0,S3117,S3117_013.png
0.0,246.4802307403552,10.485281374238571,0.0,0.0,S3117,S3117_014.png
0.0,246.03657992645927,3.0,0.0,0.0,S3117,S3117_015.png
0.0,134.91168824543144,23.31370849898476,0.0,0.0,S3117,S3117_016.png
0.0,173.95331880577405,21.727922061357855,0.0,0.0,S3117,S3117_017.png
0.0,220.8528137423857,18.899494936611667,0.0,0.0,S3117,S3117_018.png
0.0,229.23759005323595,33.97056274847714,0.0,0.0,S3117,S3117_019.png
0.0,239.82337649086284,25.899494936611667,0.0,0.0,S3117,S3117_020.png
0.0,273.89444430272835,16.899494936611667,0.0,0.0,S3117,S3117_021.png
0.0,284.27922061357856,9.242640687119284,0.0,0.0,S3117,S3117_022.png
0.0,281.5218613006978,2.414213562373095,0.0,0.0,S3117,S3117_023.png
0.0,342.8061325481597,23.14213562373095,0.0,0.0,S3117,S3117_024.png
0.0,329.6639969244288,22.899494936611667,0.0,0.0,S3117,S3117_025.png
0.0,363.56349186104046,19.727922061357855,0.0,0.0,S3117,S3117_026.png
0.0,345.43354954612926,15.65685424949238,0.0,0.0,S3117,S3117_027.png
0.0,449.1025971044414,42.04163056034262,0.0,0.0,S3117,S3117_028.png
0.0,436.81832585697947,37.79898987322333,0.0,0.0,S3117,S3117_029.png
0.0,475.78888860545663,19.727922061357855,0.0,0.0,S3117,S3117_030.png
0.0,406.84776310850236,14.242640687119284,0.0,0.0,S3117,S3117_031.png
0.0,402.43354954612926,30.72792206135785,0.0,0.0,S3117,S3117_032.png
0.0,314.9360748630709,9.65685424949238,4.0,0.0,S3117,S3117_033.png
0.0,373.8061325481597,9.65685424949238,0.0,0.0,S3117,S3117_034.png
0.0,357.8772003600252,19.97056274847714,0.0,0.0,S3117,S3117_035.png
0.0,375.63455967290594,14.899494936611665,0.0,0.0,S3117,S3117_036.png
0.0,390.4629867976521,26.14213562373095,0.0,0.0,S3117,S3117_037.png
0.0,407.7766952966369,30.79898987322333,0.0,0.0,S3117,S3117_038.png
0.0,381.53405460951757,30.970562748477143,0.0,0.0,S3117,S3117_039.png
0.0,347.6639969244288,31.384776310850235,0.0,0.0,S3117,S3117_040.png
0.0,370.2914139223983,32.14213562373095,0.0,0.0,S3117,S3117_041.png
0.0,373.56349186104046,17.31370849898476,0.0,0.0,S3117,S3117_042.png
0.0,303.76450198781714,41.04163056034261,0.0,0.0,S3117,S3117_043.png
0.0,365.0782104868019,22.31370849898476,0.0,0.0,S3117,S3117_044.png
0.0,393.7056274847714,15.313708498984761,0.0,0.0,S3117,S3117_045.png
0.0,375.19090885901,19.727922061357855,0.0,0.0,S3117,S3117_046.png
0.0,329.76450198781714,23.31370849898476,0.0,0.0,S3117,S3117_047.png
0.0,353.0071426749364,34.55634918610404,0.0,0.0,S3117,S3117_048.png
0.0,334.1076477383248,48.62741699796952,0.0,0.0,S3117,S3117_049.png
0.0,299.9655121145938,24.97056274847714,0.0,0.0,S3117,S3117_050.png
0.0,265.37972567696687,25.14213562373095,0.0,0.0,S3117,S3117_051.png
0.0,329.5929291125633,9.071067811865476,0.0,0.0,S3117,S3117_052.png
0.0,311.69343417595167,21.485281374238568,0.0,0.0,S3117,S3117_053.png
0.0,327.1787155501902,17.31370849898476,0.0,0.0,S3117,S3117_054.png
0.0,325.1787155501902,31.384776310850235,0.0,0.0,S3117,S3117_055.png
0.0,323.2497833620557,21.727922061357855,0.0,0.0,S3117,S3117_056.png
0.0,308.86500705120545,46.45584412271571,0.0,0.0,S3117,S3117_057.png
0.0,321.0071426749364,15.65685424949238,0.0,0.0,S3117,S3117_058.png
0.0,322.6639969244288,15.899494936611665,0.0,0.0,S3117,S3117_059.png
0.0,360.97770542341357,10.656854249492381,0.0,0.0,S3117,S3117_060.png
0.0,289.69343417595167,6.65685424949238,0.0,0.0,S3117,S3117_061.png
0.0,295.3086578651014,22.97056274847714,0.0,0.0,S3117,S3117_062.png
0.0,278.27922061357856,20.65685424949238,0.0,0.0,S3117,S3117_063.png
0.0,343.0782104868019,31.213203435596427,0.0,0.0,S3117,S3117_064.png
0.0,327.5929291125633,25.31370849898476,0.0,0.0,S3117,S3117_065.png
