soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,111,0.0,35056.63973347467,1648.7951647286156,5.82842712474619,0.0
C2003,99,0.0,21478.935628832733,280.80613254815967,0.0,0.0
C2609,112,0.0,26627.219392465915,637.7544007200504,4.414213562373095,0.0
C2803,114,0.0,30585.60034363216,798.1219330881976,6.414213562373095,0.0
C5608,108,0.0,29045.811455026702,1098.5849198858496,9.414213562373096,0.0
C6405,110,0.0,28073.45994111198,1091.1828996322963,7.242640687119285,0.0
S1510,108,0.0,24820.81614672309,738.3645737753168,3.414213562373095,0.0
S1919,113,0.0,27368.281584499287,403.00209204105306,1.0,0.0
S2307,104,0.0,21443.119395016805,359.06096654409873,6.242640687119285,0.0
S2403,109,0.0,26844.39514942328,579.7838379715732,4.82842712474619,0.0
S3117,110,0.0,30145.428770756906,2017.0155108391486,23.31370849898476,0.0
S3603,110,0.0,29737.967876000304,1220.4204896855322,3.8284271247461903,0.0
