Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,1.0,0.0,0.0,0.0,C2803,C2803_010.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_033.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_059.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_141.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_142.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_143.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_162.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_178.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_198.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2803,C2803_213.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_221.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_226.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_272.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_322.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_332.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_452.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2803,C2803_453.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_455.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_479.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_486.png
