Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,1.0,0.0,0.0,0.0,S2403,S2403_017.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_079.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_129.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_189.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_225.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_251.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_283.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_293.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_297.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_311.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_331.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_334.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_335.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_342.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_345.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_355.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_357.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_419.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_427.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_496.png
