soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,4,0.0,4.414213562373095,0.0,0.0,0.0
C2003,27,0.0,28.0,0.0,0.0,0.0
C2609,22,0.0,24.414213562373096,0.0,0.0,0.0
C2803,20,0.0,20.82842712474619,0.0,0.0,0.0
C5608,12,0.0,13.414213562373096,0.0,0.0,0.0
C6405,3,0.0,3.0,0.0,0.0,0.0
S1510,8,0.0,10.82842712474619,0.0,0.0,0.0
S1919,3,0.0,3.0,0.0,0.0,0.0
S2307,1,0.0,1.0,0.0,0.0,0.0
S2403,20,0.0,22.0,0.0,0.0,0.0
S3117,11,0.0,11.414213562373096,0.0,0.0,0.0
S3603,3,0.0,3.0,0.0,0.0,0.0
