Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,10.242640687119286,0.0,0.0,0.0,C2609,C2609_000.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_001.png
0.0,10.242640687119286,0.0,0.0,0.0,C2609,C2609_002.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2609,C2609_003.png
0.0,13.485281374238571,0.0,0.0,0.0,C2609,C2609_005.png
0.0,5.82842712474619,0.0,0.0,0.0,C2609,C2609_006.png
0.0,3.414213562373095,0.0,0.0,0.0,C2609,C2609_007.png
0.0,6.414213562373095,0.0,0.0,0.0,C2609,C2609_008.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_009.png
0.0,4.414213562373095,0.0,0.0,0.0,C2609,C2609_010.png
0.0,4.414213562373095,0.0,0.0,0.0,C2609,C2609_011.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_012.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_016.png
0.0,8.82842712474619,0.0,0.0,0.0,C2609,C2609_017.png
0.0,2.414213562373095,0.0,0.0,0.0,C2609,C2609_018.png
0.0,4.82842712474619,0.0,0.0,0.0,C2609,C2609_019.png
0.0,5.82842712474619,0.0,0.0,0.0,C2609,C2609_020.png
0.0,2.414213562373095,0.0,0.0,0.0,C2609,C2609_021.png
0.0,3.0,0.0,0.0,0.0,C2609,C2609_023.png
0.0,2.414213562373095,0.0,0.0,0.0,C2609,C2609_024.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2609,C2609_025.png
0.0,2.414213562373095,0.0,0.0,0.0,C2609,C2609_027.png
0.0,3.414213562373095,0.0,0.0,0.0,C2609,C2609_028.png
0.0,3.0,0.0,0.0,0.0,C2609,C2609_029.png
0.0,3.0,0.0,0.0,0.0,C2609,C2609_030.png
0.0,4.82842712474619,0.0,0.0,0.0,C2609,C2609_031.png
0.0,11.485281374238571,0.0,0.0,0.0,C2609,C2609_032.png
0.0,8.65685424949238,0.0,0.0,0.0,C2609,C2609_033.png
0.0,5.82842712474619,0.0,0.0,0.0,C2609,C2609_034.png
0.0,8.242640687119286,0.0,0.0,0.0,C2609,C2609_035.png
0.0,13.485281374238571,0.0,0.0,0.0,C2609,C2609_036.png
0.0,3.414213562373095,0.0,0.0,0.0,C2609,C2609_037.png
0.0,2.414213562373095,0.0,0.0,0.0,C2609,C2609_039.png
0.0,4.242640687119286,0.0,0.0,0.0,C2609,C2609_040.png
0.0,17.31370849898476,0.0,0.0,0.0,C2609,C2609_041.png
0.0,7.82842712474619,0.0,0.0,0.0,C2609,C2609_042.png
0.0,6.82842712474619,0.0,0.0,0.0,C2609,C2609_043.png
0.0,9.242640687119284,0.0,0.0,0.0,C2609,C2609_044.png
0.0,9.071067811865476,0.0,0.0,0.0,C2609,C2609_045.png
0.0,5.82842712474619,0.0,0.0,0.0,C2609,C2609_046.png
0.0,7.414213562373095,0.0,0.0,0.0,C2609,C2609_047.png
0.0,9.65685424949238,0.0,0.0,0.0,C2609,C2609_048.png
0.0,4.414213562373095,0.0,0.0,0.0,C2609,C2609_049.png
0.0,12.899494936611665,0.0,0.0,0.0,C2609,C2609_050.png
0.0,9.242640687119284,0.0,0.0,0.0,C2609,C2609_051.png
0.0,4.82842712474619,0.0,0.0,0.0,C2609,C2609_052.png
0.0,19.071067811865476,0.0,0.0,0.0,C2609,C2609_053.png
0.0,13.65685424949238,0.0,0.0,0.0,C2609,C2609_054.png
0.0,10.071067811865476,0.0,0.0,0.0,C2609,C2609_055.png
0.0,8.656854249492381,0.0,0.0,0.0,C2609,C2609_056.png
0.0,10.071067811865476,0.0,0.0,0.0,C2609,C2609_057.png
0.0,8.071067811865476,0.0,0.0,0.0,C2609,C2609_058.png
0.0,6.82842712474619,0.0,0.0,0.0,C2609,C2609_059.png
0.0,8.242640687119286,0.0,0.0,0.0,C2609,C2609_060.png
0.0,5.414213562373095,0.0,0.0,0.0,C2609,C2609_061.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2609,C2609_062.png
0.0,5.414213562373095,0.0,0.0,0.0,C2609,C2609_063.png
0.0,12.65685424949238,0.0,0.0,0.0,C2609,C2609_065.png
0.0,10.0,0.0,0.0,0.0,C2609,C2609_066.png
0.0,19.48528137423857,0.0,0.0,0.0,C2609,C2609_067.png
0.0,25.727922061357855,0.0,0.0,0.0,C2609,C2609_068.png
0.0,16.899494936611667,0.0,0.0,0.0,C2609,C2609_069.png
0.0,8.82842712474619,0.0,0.0,0.0,C2609,C2609_070.png
0.0,16.31370849898476,0.0,0.0,0.0,C2609,C2609_071.png
0.0,9.242640687119286,0.0,0.0,0.0,C2609,C2609_072.png
0.0,2.0,0.0,0.0,0.0,C2609,C2609_073.png
0.0,5.242640687119286,0.0,0.0,0.0,C2609,C2609_074.png
0.0,2.0,0.0,0.0,0.0,C2609,C2609_075.png
0.0,2.414213562373095,0.0,0.0,0.0,C2609,C2609_076.png
0.0,17.899494936611667,0.0,0.0,0.0,C2609,C2609_077.png
0.0,7.82842712474619,0.0,0.0,0.0,C2609,C2609_078.png
0.0,9.65685424949238,0.0,0.0,0.0,C2609,C2609_079.png
0.0,7.414213562373095,0.0,0.0,0.0,C2609,C2609_080.png
0.0,9.82842712474619,0.0,0.0,0.0,C2609,C2609_081.png
0.0,5.82842712474619,0.0,0.0,0.0,C2609,C2609_082.png
0.0,6.656854249492381,0.0,0.0,0.0,C2609,C2609_083.png
0.0,2.8284271247461903,0.0,0.0,0.0,C2609,C2609_084.png
0.0,4.82842712474619,0.0,0.0,0.0,C2609,C2609_085.png
0.0,3.414213562373095,0.0,0.0,0.0,C2609,C2609_086.png
0.0,10.414213562373096,0.0,0.0,0.0,C2609,C2609_089.png
0.0,4.0,0.0,0.0,0.0,C2609,C2609_090.png
0.0,4.414213562373095,0.0,0.0,0.0,C2609,C2609_091.png
0.0,7.242640687119285,0.0,0.0,0.0,C2609,C2609_092.png
0.0,7.656854249492381,0.0,0.0,0.0,C2609,C2609_093.png
0.0,6.242640687119286,0.0,0.0,0.0,C2609,C2609_094.png
0.0,11.242640687119286,0.0,0.0,0.0,C2609,C2609_095.png
0.0,6.242640687119286,0.0,0.0,0.0,C2609,C2609_096.png
0.0,2.414213562373095,0.0,0.0,0.0,C2609,C2609_097.png
0.0,11.242640687119284,0.0,0.0,0.0,C2609,C2609_098.png
0.0,5.0,0.0,0.0,0.0,C2609,C2609_099.png
0.0,9.899494936611667,0.0,0.0,0.0,C2609,C2609_100.png
0.0,8.65685424949238,0.0,0.0,0.0,C2609,C2609_101.png
0.0,7.242640687119286,0.0,0.0,0.0,C2609,C2609_102.png
0.0,11.65685424949238,0.0,0.0,0.0,C2609,C2609_103.png
0.0,12.65685424949238,0.0,0.0,0.0,C2609,C2609_104.png
0.0,8.242640687119286,0.0,0.0,0.0,C2609,C2609_105.png
0.0,7.656854249492381,0.0,0.0,0.0,C2609,C2609_106.png
0.0,8.414213562373096,0.0,0.0,0.0,C2609,C2609_107.png
0.0,8.65685424949238,0.0,0.0,0.0,C2609,C2609_108.png
0.0,3.414213562373095,0.0,0.0,0.0,C2609,C2609_109.png
0.0,6.242640687119286,0.0,0.0,0.0,C2609,C2609_110.png
0.0,2.0,0.0,0.0,0.0,C2609,C2609_111.png
0.0,7.242640687119285,0.0,0.0,0.0,C2609,C2609_112.png
0.0,15.071067811865476,0.0,0.0,0.0,C2609,C2609_113.png
0.0,11.242640687119286,0.0,0.0,0.0,C2609,C2609_114.png
0.0,8.242640687119286,0.0,0.0,0.0,C2609,C2609_115.png
0.0,11.071067811865476,0.0,0.0,0.0,C2609,C2609_116.png
0.0,11.65685424949238,0.0,0.0,0.0,C2609,C2609_117.png
0.0,8.071067811865476,0.0,0.0,0.0,C2609,C2609_118.png
0.0,4.242640687119286,0.0,0.0,0.0,C2609,C2609_119.png
0.0,11.071067811865476,0.0,0.0,0.0,C2609,C2609_120.png
0.0,7.414213562373095,0.0,0.0,0.0,C2609,C2609_121.png
0.0,12.485281374238571,0.0,0.0,0.0,C2609,C2609_122.png
0.0,5.414213562373095,0.0,0.0,0.0,C2609,C2609_123.png
0.0,4.0,0.0,0.0,0.0,C2609,C2609_124.png
0.0,18.727922061357855,0.0,0.0,0.0,C2609,C2609_125.png
0.0,3.414213562373095,0.0,0.0,0.0,C2609,C2609_126.png
0.0,5.82842712474619,0.0,0.0,0.0,C2609,C2609_127.png
0.0,5.242640687119286,0.0,0.0,0.0,C2609,C2609_128.png
0.0,12.65685424949238,0.0,0.0,0.0,C2609,C2609_129.png
0.0,7.82842712474619,0.0,0.0,0.0,C2609,C2609_130.png
0.0,5.82842712474619,0.0,0.0,0.0,C2609,C2609_131.png
0.0,4.414213562373095,0.0,0.0,0.0,C2609,C2609_132.png
0.0,3.414213562373095,0.0,0.0,0.0,C2609,C2609_134.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2609,C2609_135.png
0.0,2.414213562373095,0.0,0.0,0.0,C2609,C2609_136.png
0.0,11.0,0.0,0.0,0.0,C2609,C2609_137.png
0.0,5.242640687119286,0.0,0.0,0.0,C2609,C2609_138.png
0.0,8.65685424949238,0.0,0.0,0.0,C2609,C2609_139.png
0.0,8.82842712474619,0.0,0.0,0.0,C2609,C2609_140.png
0.0,12.65685424949238,0.0,0.0,0.0,C2609,C2609_141.png
0.0,5.414213562373095,0.0,0.0,0.0,C2609,C2609_142.png
0.0,8.071067811865476,0.0,0.0,0.0,C2609,C2609_143.png
0.0,4.82842712474619,0.0,0.0,0.0,C2609,C2609_144.png
0.0,3.0,0.0,0.0,0.0,C2609,C2609_145.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_146.png
0.0,2.0,0.0,0.0,0.0,C2609,C2609_147.png
0.0,3.0,0.0,0.0,0.0,C2609,C2609_148.png
0.0,9.242640687119286,0.0,0.0,0.0,C2609,C2609_149.png
0.0,9.242640687119286,0.0,0.0,0.0,C2609,C2609_150.png
0.0,3.414213562373095,0.0,0.0,0.0,C2609,C2609_151.png
0.0,5.82842712474619,0.0,0.0,0.0,C2609,C2609_152.png
0.0,6.414213562373095,0.0,0.0,0.0,C2609,C2609_153.png
0.0,4.414213562373095,0.0,0.0,0.0,C2609,C2609_154.png
0.0,9.242640687119286,0.0,0.0,0.0,C2609,C2609_155.png
0.0,15.899494936611665,0.0,0.0,0.0,C2609,C2609_156.png
0.0,3.0,0.0,0.0,0.0,C2609,C2609_157.png
0.0,7.242640687119286,0.0,0.0,0.0,C2609,C2609_158.png
0.0,4.82842712474619,0.0,0.0,0.0,C2609,C2609_159.png
0.0,6.82842712474619,0.0,0.0,0.0,C2609,C2609_160.png
0.0,14.071067811865476,0.0,0.0,0.0,C2609,C2609_161.png
0.0,6.656854249492381,0.0,0.0,0.0,C2609,C2609_162.png
0.0,2.414213562373095,0.0,0.0,0.0,C2609,C2609_163.png
0.0,12.485281374238571,0.0,0.0,0.0,C2609,C2609_164.png
0.0,3.414213562373095,0.0,0.0,0.0,C2609,C2609_165.png
0.0,3.8284271247461903,0.0,0.0,0.0,C2609,C2609_166.png
0.0,9.65685424949238,0.0,0.0,0.0,C2609,C2609_167.png
0.0,3.414213562373095,0.0,0.0,0.0,C2609,C2609_168.png
0.0,7.242640687119286,0.0,0.0,0.0,C2609,C2609_169.png
0.0,10.82842712474619,0.0,0.0,0.0,C2609,C2609_170.png
0.0,7.414213562373095,0.0,0.0,0.0,C2609,C2609_171.png
0.0,2.414213562373095,0.0,0.0,0.0,C2609,C2609_172.png
0.0,13.485281374238571,0.0,0.0,0.0,C2609,C2609_173.png
0.0,6.242640687119286,0.0,0.0,0.0,C2609,C2609_174.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_175.png
0.0,6.82842712474619,0.0,0.0,0.0,C2609,C2609_176.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_177.png
0.0,3.414213562373095,0.0,0.0,0.0,C2609,C2609_178.png
0.0,4.414213562373095,0.0,0.0,0.0,C2609,C2609_179.png
0.0,3.0,0.0,0.0,0.0,C2609,C2609_180.png
0.0,2.0,0.0,0.0,0.0,C2609,C2609_181.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_182.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_183.png
0.0,2.414213562373095,0.0,0.0,0.0,C2609,C2609_184.png
0.0,19.727922061357855,0.0,0.0,0.0,C2609,C2609_185.png
0.0,10.242640687119286,0.0,0.0,0.0,C2609,C2609_186.png
0.0,4.414213562373095,0.0,0.0,0.0,C2609,C2609_187.png
0.0,6.0,0.0,0.0,0.0,C2609,C2609_188.png
0.0,7.656854249492381,0.0,0.0,0.0,C2609,C2609_189.png
0.0,8.65685424949238,0.0,0.0,0.0,C2609,C2609_190.png
0.0,3.8284271247461903,0.0,0.0,0.0,C2609,C2609_191.png
0.0,6.82842712474619,0.0,0.0,0.0,C2609,C2609_192.png
0.0,9.82842712474619,0.0,0.0,0.0,C2609,C2609_194.png
0.0,2.414213562373095,0.0,0.0,0.0,C2609,C2609_195.png
0.0,2.414213562373095,0.0,0.0,0.0,C2609,C2609_196.png
0.0,12.242640687119286,0.0,0.0,0.0,C2609,C2609_197.png
0.0,8.65685424949238,0.0,0.0,0.0,C2609,C2609_198.png
0.0,2.414213562373095,0.0,0.0,0.0,C2609,C2609_199.png
0.0,5.242640687119286,0.0,0.0,0.0,C2609,C2609_200.png
0.0,12.071067811865476,0.0,0.0,0.0,C2609,C2609_201.png
0.0,10.242640687119286,0.0,0.0,0.0,C2609,C2609_202.png
0.0,3.414213562373095,0.0,0.0,0.0,C2609,C2609_203.png
0.0,7.414213562373095,0.0,0.0,0.0,C2609,C2609_204.png
0.0,3.8284271247461903,0.0,0.0,0.0,C2609,C2609_205.png
0.0,8.82842712474619,0.0,0.0,0.0,C2609,C2609_206.png
0.0,2.414213562373095,0.0,0.0,0.0,C2609,C2609_207.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_208.png
