Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,27.82842712474619,14.899494936611664,0.0,0.0,S1919,S1919_000.png
0.0,14.65685424949238,0.0,0.0,0.0,S1919,S1919_001.png
0.0,10.242640687119286,0.0,0.0,0.0,S1919,S1919_002.png
0.0,7.0,0.0,0.0,0.0,S1919,S1919_003.png
0.0,15.0,0.0,0.0,0.0,S1919,S1919_004.png
0.0,46.14213562373095,13.727922061357857,3.0,0.0,S1919,S1919_005.png
0.0,19.65685424949238,7.656854249492381,0.0,0.0,S1919,S1919_006.png
0.0,47.14213562373095,1.4142135623730951,0.0,0.0,S1919,S1919_007.png
0.0,38.48528137423857,22.970562748477143,0.0,0.0,S1919,S1919_008.png
0.0,64.4558441227157,1.4142135623730951,0.0,0.0,S1919,S1919_009.png
0.0,68.4558441227157,12.485281374238571,0.0,0.0,S1919,S1919_010.png
0.0,71.04163056034261,14.485281374238571,0.0,0.0,S1919,S1919_011.png
0.0,28.414213562373096,10.485281374238571,0.0,0.0,S1919,S1919_012.png
0.0,16.414213562373096,0.0,0.0,0.0,S1919,S1919_013.png
0.0,9.82842712474619,0.0,0.0,0.0,S1919,S1919_014.png
0.0,2.414213562373095,0.0,0.0,0.0,S1919,S1919_015.png
0.0,20.071067811865476,0.0,0.0,0.0,S1919,S1919_016.png
0.0,56.79898987322333,9.65685424949238,0.0,0.0,S1919,S1919_017.png
0.0,33.72792206135786,6.82842712474619,0.0,0.0,S1919,S1919_018.png
0.0,43.97056274847714,9.242640687119284,0.0,0.0,S1919,S1919_019.png
0.0,51.79898987322333,6.656854249492381,0.0,0.0,S1919,S1919_020.png
0.0,37.89949493661167,18.899494936611667,0.0,0.0,S1919,S1919_021.png
0.0,57.45584412271571,11.071067811865476,0.0,0.0,S1919,S1919_022.png
0.0,66.21320343559643,5.242640687119286,0.0,0.0,S1919,S1919_023.png
0.0,14.414213562373096,6.656854249492381,0.0,0.0,S1919,S1919_024.png
0.0,8.0,0.0,0.0,0.0,S1919,S1919_025.png
0.0,7.414213562373095,0.0,0.0,0.0,S1919,S1919_026.png
0.0,5.0,0.0,0.0,0.0,S1919,S1919_027.png
0.0,16.071067811865476,1.4142135623730951,0.0,0.0,S1919,S1919_028.png
0.0,51.21320343559643,22.727922061357855,0.0,0.0,S1919,S1919_029.png
0.0,49.87005768508881,15.899494936611667,0.0,0.0,S1919,S1919_030.png
0.0,29.899494936611664,16.899494936611667,0.0,0.0,S1919,S1919_031.png
0.0,51.21320343559643,11.071067811865476,0.0,0.0,S1919,S1919_032.png
0.0,54.45584412271571,15.31370849898476,0.0,0.0,S1919,S1919_033.png
0.0,50.21320343559643,25.798989873223334,0.0,0.0,S1919,S1919_034.png
0.0,53.798989873223334,23.97056274847714,0.0,0.0,S1919,S1919_035.png
0.0,29.071067811865476,10.071067811865476,0.0,0.0,S1919,S1919_036.png
0.0,12.242640687119286,2.8284271247461903,0.0,0.0,S1919,S1919_037.png
0.0,4.0,0.0,0.0,0.0,S1919,S1919_038.png
0.0,8.414213562373096,0.0,0.0,0.0,S1919,S1919_039.png
0.0,8.82842712474619,4.414213562373095,0.0,0.0,S1919,S1919_040.png
0.0,28.242640687119284,17.071067811865476,0.0,0.0,S1919,S1919_041.png
0.0,19.242640687119284,9.899494936611665,0.0,0.0,S1919,S1919_042.png
0.0,54.112698372208094,4.242640687119286,0.0,0.0,S1919,S1919_043.png
0.0,57.698484809834994,12.899494936611665,0.0,0.0,S1919,S1919_044.png
0.0,47.21320343559643,10.899494936611667,0.0,0.0,S1919,S1919_045.png
0.0,44.21320343559643,5.242640687119286,0.0,0.0,S1919,S1919_046.png
0.0,46.384776310850235,12.071067811865476,0.0,0.0,S1919,S1919_047.png
0.0,30.31370849898476,1.4142135623730951,0.0,0.0,S1919,S1919_048.png
0.0,9.0,0.0,0.0,0.0,S1919,S1919_049.png
0.0,7.0,0.0,0.0,0.0,S1919,S1919_050.png
0.0,4.0,0.0,0.0,0.0,S1919,S1919_051.png
0.0,20.48528137423857,0.0,0.0,0.0,S1919,S1919_052.png
0.0,46.62741699796952,23.970562748477143,0.0,0.0,S1919,S1919_053.png
0.0,46.62741699796952,6.242640687119285,0.0,0.0,S1919,S1919_054.png
0.0,61.45584412271571,21.970562748477143,0.0,0.0,S1919,S1919_055.png
0.0,37.72792206135786,18.727922061357855,0.0,0.0,S1919,S1919_056.png
0.0,32.72792206135786,1.4142135623730951,0.0,0.0,S1919,S1919_057.png
0.0,51.384776310850235,17.727922061357855,0.0,0.0,S1919,S1919_058.png
0.0,31.071067811865476,6.656854249492381,0.0,0.0,S1919,S1919_059.png
0.0,28.48528137423857,2.8284271247461903,0.0,0.0,S1919,S1919_060.png
0.0,13.82842712474619,1.4142135623730951,0.0,0.0,S1919,S1919_061.png
0.0,5.414213562373095,0.0,0.0,0.0,S1919,S1919_062.png
0.0,12.414213562373096,0.0,0.0,0.0,S1919,S1919_063.png
0.0,22.899494936611667,1.4142135623730951,0.0,0.0,S1919,S1919_064.png
0.0,40.31370849898476,26.14213562373095,0.0,0.0,S1919,S1919_065.png
0.0,34.31370849898476,6.242640687119286,0.0,0.0,S1919,S1919_066.png
0.0,39.14213562373095,22.14213562373095,0.0,0.0,S1919,S1919_067.png
0.0,35.14213562373095,10.071067811865476,1.0,0.0,S1919,S1919_068.png
0.0,51.55634918610404,23.14213562373095,0.0,0.0,S1919,S1919_069.png
0.0,45.79898987322333,12.071067811865476,0.0,0.0,S1919,S1919_070.png
0.0,47.79898987322333,21.14213562373095,0.0,0.0,S1919,S1919_071.png
0.0,28.48528137423857,16.31370849898476,0.0,0.0,S1919,S1919_072.png
0.0,22.65685424949238,3.8284271247461903,0.0,0.0,S1919,S1919_073.png
0.0,28.65685424949238,0.0,0.0,0.0,S1919,S1919_074.png
0.0,4.414213562373095,0.0,0.0,0.0,S1919,S1919_075.png
0.0,12.242640687119286,0.0,0.0,0.0,S1919,S1919_076.png
0.0,43.97056274847714,14.899494936611664,0.0,0.0,S1919,S1919_077.png
0.0,26.48528137423857,13.65685424949238,0.0,0.0,S1919,S1919_078.png
0.0,65.79898987322333,2.8284271247461903,0.0,0.0,S1919,S1919_079.png
0.0,52.14213562373095,33.384776310850235,0.0,0.0,S1919,S1919_080.png
0.0,39.14213562373095,42.04163056034262,0.0,0.0,S1919,S1919_081.png
0.0,72.4558441227157,7.65685424949238,0.0,0.0,S1919,S1919_082.png
0.0,54.14213562373095,16.31370849898476,0.0,0.0,S1919,S1919_083.png
0.0,30.48528137423857,12.071067811865476,0.0,0.0,S1919,S1919_084.png
0.0,10.414213562373096,5.82842712474619,0.0,0.0,S1919,S1919_085.png
0.0,16.65685424949238,2.414213562373095,0.0,0.0,S1919,S1919_086.png
0.0,5.0,0.0,0.0,0.0,S1919,S1919_087.png
0.0,26.485281374238568,0.0,0.0,0.0,S1919,S1919_088.png
0.0,76.94112549695429,26.727922061357855,0.0,0.0,S1919,S1919_089.png
0.0,81.04163056034261,10.071067811865476,0.0,0.0,S1919,S1919_090.png
0.0,87.35533905932738,15.242640687119284,0.0,0.0,S1919,S1919_091.png
0.0,48.45584412271571,15.071067811865476,3.82842712474619,0.0,S1919,S1919_092.png
0.0,44.79898987322333,4.82842712474619,0.0,0.0,S1919,S1919_093.png
0.0,59.62741699796952,15.48528137423857,0.0,0.0,S1919,S1919_094.png
0.0,76.94112549695429,10.071067811865476,1.0,0.0,S1919,S1919_095.png
0.0,48.384776310850235,5.414213562373095,0.0,0.0,S1919,S1919_096.png
0.0,12.414213562373096,0.0,0.0,0.0,S1919,S1919_097.png
0.0,22.48528137423857,2.8284271247461903,0.0,0.0,S1919,S1919_098.png
0.0,4.0,0.0,0.0,0.0,S1919,S1919_099.png
