Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,1.0,0.0,0.0,0.0,S3117,S3117_000.png
0.0,5.414213562373095,0.0,0.0,0.0,S3117,S3117_003.png
0.0,23.242640687119284,0.0,0.0,0.0,S3117,S3117_004.png
0.0,33.65685424949238,0.0,0.0,0.0,S3117,S3117_005.png
0.0,40.65685424949238,0.0,0.0,0.0,S3117,S3117_006.png
0.0,39.89949493661167,1.4142135623730951,0.0,0.0,S3117,S3117_007.png
0.0,53.31370849898476,8.414213562373096,0.0,0.0,S3117,S3117_008.png
0.0,57.97056274847714,5.82842712474619,0.0,0.0,S3117,S3117_009.png
0.0,95.5269119345812,10.48528137423857,0.0,0.0,S3117,S3117_010.png
0.0,147.22539674441617,17.899494936611664,0.0,0.0,S3117,S3117_011.png
0.0,169.8111831820431,27.727922061357855,0.0,0.0,S3117,S3117_012.png
0.0,160.74011537017762,43.04163056034262,0.0,0.0,S3117,S3117_013.png
0.0,179.1543289325507,41.8700576850888,0.0,0.0,S3117,S3117_014.png
0.0,175.49747468305833,84.59797974644665,2.8284271247461903,0.0,S3117,S3117_015.png
0.0,118.11269837220809,51.698484809834994,0.0,0.0,S3117,S3117_016.png
0.0,139.66904755831214,28.14213562373095,0.0,0.0,S3117,S3117_017.png
0.0,171.46803743153546,31.62741699796952,0.0,0.0,S3117,S3117_018.png
0.0,189.63961030678928,37.798989873223334,0.0,0.0,S3117,S3117_019.png
0.0,190.88225099390857,25.727922061357855,0.0,0.0,S3117,S3117_020.png
0.0,220.29646455628165,25.31370849898476,0.0,0.0,S3117,S3117_021.png
0.0,201.53910524340094,10.071067811865476,1.4142135623730951,0.0,S3117,S3117_022.png
0.0,186.05382386916236,23.48528137423857,0.0,0.0,S3117,S3117_023.png
0.0,186.8111831820431,46.04163056034261,2.414213562373095,0.0,S3117,S3117_024.png
0.0,199.36753236814712,69.84062043356595,0.0,0.0,S3117,S3117_025.png
0.0,201.88225099390857,68.84062043356595,0.0,0.0,S3117,S3117_026.png
0.0,232.33809511662426,67.01219330881976,0.0,0.0,S3117,S3117_027.png
0.0,250.12489168102783,66.42640687119285,0.0,0.0,S3117,S3117_028.png
0.0,280.7523086789974,64.2842712474619,0.0,0.0,S3117,S3117_029.png
0.0,230.29646455628165,97.74011537017762,1.0,0.0,S3117,S3117_030.png
0.0,213.6812408671319,44.45584412271571,0.0,0.0,S3117,S3117_031.png
0.0,184.3259018078045,46.04163056034262,0.0,0.0,S3117,S3117_032.png
0.0,221.63961030678928,49.45584412271571,0.0,0.0,S3117,S3117_033.png
0.0,212.46803743153546,58.526911934581186,0.0,0.0,S3117,S3117_034.png
0.0,194.02438661763952,72.35533905932738,2.414213562373095,0.0,S3117,S3117_035.png
0.0,199.8111831820431,28.556349186104043,0.0,0.0,S3117,S3117_036.png
0.0,170.91168824543144,57.698484809834994,0.0,0.0,S3117,S3117_037.png
0.0,170.9827560572969,47.87005768508881,2.414213562373095,0.0,S3117,S3117_038.png
0.0,226.78174593052023,47.2842712474619,0.0,0.0,S3117,S3117_039.png
0.0,190.49747468305833,48.94112549695428,0.0,0.0,S3117,S3117_040.png
0.0,230.4386001800126,45.2842712474619,0.0,0.0,S3117,S3117_041.png
0.0,195.61017305526642,53.35533905932738,0.0,0.0,S3117,S3117_042.png
0.0,189.98275605729688,43.04163056034262,3.0,0.0,S3117,S3117_043.png
0.0,208.46803743153546,21.556349186104047,0.0,0.0,S3117,S3117_044.png
0.0,231.46803743153546,44.8700576850888,0.0,0.0,S3117,S3117_045.png
0.0,200.5685424949238,52.526911934581186,0.0,0.0,S3117,S3117_046.png
0.0,220.8111831820431,46.11269837220809,0.0,0.0,S3117,S3117_047.png
0.0,205.08326112068522,20.727922061357855,3.414213562373095,0.0,S3117,S3117_048.png
0.0,207.5685424949238,24.485281374238568,4.82842712474619,0.0,S3117,S3117_049.png
0.0,178.91168824543144,17.31370849898476,0.0,0.0,S3117,S3117_050.png
0.0,134.45584412271572,35.45584412271571,0.0,0.0,S3117,S3117_051.png
0.0,171.08326112068522,32.384776310850235,0.0,0.0,S3117,S3117_052.png
0.0,193.5685424949238,34.21320343559643,3.82842712474619,0.0,S3117,S3117_053.png
0.0,176.66904755831214,47.87005768508881,0.0,0.0,S3117,S3117_054.png
0.0,183.74011537017762,63.59797974644667,0.0,0.0,S3117,S3117_055.png
0.0,170.5269119345812,35.62741699796952,0.0,0.0,S3117,S3117_056.png
0.0,166.01219330881975,39.384776310850235,0.0,0.0,S3117,S3117_057.png
0.0,167.46803743153546,29.384776310850235,0.0,0.0,S3117,S3117_058.png
0.0,179.1543289325507,36.55634918610404,0.0,0.0,S3117,S3117_059.png
0.0,192.5685424949238,30.14213562373095,0.0,0.0,S3117,S3117_060.png
0.0,194.3259018078045,30.213203435596427,0.0,0.0,S3117,S3117_061.png
0.0,168.9116882454314,13.071067811865476,0.0,0.0,S3117,S3117_062.png
0.0,207.74011537017762,10.071067811865476,0.0,0.0,S3117,S3117_063.png
0.0,220.74011537017762,46.04163056034262,0.0,0.0,S3117,S3117_064.png
