Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,1.0,0.0,0.0,0.0,S1510,S1510_006.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_028.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_030.png
0.0,2.414213562373095,0.0,0.0,0.0,S1510,S1510_069.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_106.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_184.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_212.png
0.0,1.4142135623730951,0.0,0.0,0.0,S1510,S1510_285.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_287.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_370.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_371.png
