Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,2.414213562373095,0.0,0.0,0.0,S2403,S2403_000.png
0.0,2.8284271247461903,0.0,0.0,0.0,S2403,S2403_001.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_002.png
0.0,23.82842712474619,0.0,0.0,0.0,S2403,S2403_003.png
0.0,8.242640687119286,0.0,0.0,0.0,S2403,S2403_004.png
0.0,9.65685424949238,0.0,0.0,0.0,S2403,S2403_005.png
0.0,32.72792206135786,0.0,0.0,0.0,S2403,S2403_006.png
0.0,66.04163056034261,0.0,0.0,0.0,S2403,S2403_007.png
0.0,117.32590180780451,2.414213562373095,0.0,0.0,S2403,S2403_008.png
0.0,133.29646455628165,0.0,0.0,0.0,S2403,S2403_009.png
0.0,122.39696961966999,0.0,0.0,0.0,S2403,S2403_010.png
0.0,124.91168824543142,5.82842712474619,0.0,0.0,S2403,S2403_011.png
0.0,142.0538238691624,0.0,0.0,0.0,S2403,S2403_012.png
0.0,151.98275605729688,0.0,0.0,0.0,S2403,S2403_013.png
0.0,72.2842712474619,0.0,0.0,0.0,S2403,S2403_014.png
0.0,56.45584412271571,2.414213562373095,0.0,0.0,S2403,S2403_015.png
0.0,68.35533905932738,1.4142135623730951,0.0,0.0,S2403,S2403_016.png
0.0,132.25483399593904,2.8284271247461903,0.0,0.0,S2403,S2403_017.png
0.0,155.1959594928933,0.0,0.0,0.0,S2403,S2403_018.png
0.0,130.74011537017762,0.0,0.0,0.0,S2403,S2403_019.png
0.0,157.0538238691624,11.071067811865476,0.0,0.0,S2403,S2403_020.png
0.0,179.1959594928933,0.0,0.0,0.0,S2403,S2403_021.png
0.0,237.79393923933998,11.071067811865474,0.0,0.0,S2403,S2403_022.png
0.0,255.62236636408616,8.65685424949238,0.0,0.0,S2403,S2403_023.png
0.0,229.82337649086284,3.82842712474619,0.0,0.0,S2403,S2403_024.png
0.0,222.06601717798213,1.4142135623730951,0.0,0.0,S2403,S2403_025.png
0.0,248.9655121145938,2.414213562373095,0.0,0.0,S2403,S2403_026.png
0.0,257.5512985522207,0.0,0.0,0.0,S2403,S2403_027.png
0.0,270.2081528017131,3.0,0.0,0.0,S2403,S2403_028.png
0.0,283.0071426749364,1.4142135623730951,0.0,0.0,S2403,S2403_029.png
0.0,257.37972567696687,0.0,0.0,0.0,S2403,S2403_030.png
0.0,209.33809511662426,6.242640687119286,0.0,0.0,S2403,S2403_031.png
0.0,231.4802307403552,5.82842712474619,0.0,0.0,S2403,S2403_032.png
0.0,198.8528137423857,1.4142135623730951,0.0,0.0,S2403,S2403_033.png
0.0,165.39696961967,2.414213562373095,0.0,0.0,S2403,S2403_034.png
0.0,196.6812408671319,8.242640687119284,0.0,0.0,S2403,S2403_035.png
0.0,229.33809511662426,0.0,0.0,0.0,S2403,S2403_036.png
0.0,242.33809511662426,0.0,0.0,0.0,S2403,S2403_037.png
0.0,283.9360748630709,0.0,0.0,0.0,S2403,S2403_038.png
0.0,249.30865786510142,0.0,0.0,0.0,S2403,S2403_039.png
0.0,285.69343417595167,2.414213562373095,0.0,0.0,S2403,S2403_040.png
0.0,264.8233764908628,0.0,3.414213562373095,0.0,S2403,S2403_041.png
0.0,272.27922061357856,0.0,0.0,0.0,S2403,S2403_042.png
0.0,263.35028842544403,10.071067811865476,0.0,0.0,S2403,S2403_043.png
0.0,263.2081528017131,11.242640687119286,0.0,0.0,S2403,S2403_044.png
0.0,244.40916292848974,1.4142135623730951,0.0,0.0,S2403,S2403_045.png
0.0,308.4213562373095,6.65685424949238,0.0,0.0,S2403,S2403_046.png
0.0,276.6223663640862,15.313708498984761,0.0,0.0,S2403,S2403_047.png
0.0,284.86500705120545,3.0,0.0,0.0,S2403,S2403_048.png
0.0,268.1370849898476,3.414213562373095,0.0,0.0,S2403,S2403_049.png
0.0,206.50966799187808,3.82842712474619,0.0,0.0,S2403,S2403_050.png
0.0,196.095454429505,0.0,0.0,0.0,S2403,S2403_051.png
0.0,180.63961030678928,4.414213562373095,0.0,0.0,S2403,S2403_052.png
0.0,186.61017305526642,2.8284271247461903,0.0,0.0,S2403,S2403_053.png
0.0,207.82337649086284,4.414213562373095,0.0,0.0,S2403,S2403_054.png
0.0,235.06601717798213,0.0,0.0,0.0,S2403,S2403_055.png
0.0,235.65180361560903,0.0,0.0,0.0,S2403,S2403_056.png
0.0,218.095454429505,6.0,0.0,0.0,S2403,S2403_057.png
0.0,229.9655121145938,4.82842712474619,0.0,0.0,S2403,S2403_058.png
0.0,226.6812408671319,0.0,0.0,0.0,S2403,S2403_059.png
0.0,268.5218613006978,0.0,0.0,0.0,S2403,S2403_060.png
0.0,290.17871555019025,0.0,0.0,0.0,S2403,S2403_061.png
0.0,269.9655121145938,1.4142135623730951,0.0,0.0,S2403,S2403_062.png
0.0,266.37972567696687,14.31370849898476,0.0,0.0,S2403,S2403_063.png
0.0,296.0782104868019,0.0,0.0,0.0,S2403,S2403_064.png
0.0,316.0782104868019,3.82842712474619,0.0,0.0,S2403,S2403_065.png
0.0,293.8355697996826,1.4142135623730951,0.0,0.0,S2403,S2403_066.png
0.0,278.86500705120545,7.65685424949238,0.0,0.0,S2403,S2403_067.png
0.0,258.79393923934,2.8284271247461903,0.0,0.0,S2403,S2403_068.png
0.0,231.30865786510142,1.4142135623730951,0.0,0.0,S2403,S2403_069.png
0.0,233.23759005323595,1.4142135623730951,0.0,0.0,S2403,S2403_070.png
0.0,245.33809511662426,7.242640687119286,0.0,0.0,S2403,S2403_071.png
0.0,218.8528137423857,2.8284271247461903,0.0,0.0,S2403,S2403_072.png
0.0,202.92388155425118,0.0,0.0,0.0,S2403,S2403_073.png
0.0,233.89444430272832,1.4142135623730951,0.0,0.0,S2403,S2403_074.png
0.0,275.76450198781714,1.4142135623730951,0.0,0.0,S2403,S2403_075.png
0.0,288.0071426749364,4.82842712474619,0.0,0.0,S2403,S2403_076.png
0.0,242.82337649086284,2.414213562373095,0.0,0.0,S2403,S2403_077.png
0.0,221.36753236814712,0.0,0.0,0.0,S2403,S2403_078.png
0.0,286.96551211459376,8.65685424949238,0.0,0.0,S2403,S2403_079.png
0.0,327.56349186104046,6.82842712474619,0.0,0.0,S2403,S2403_080.png
0.0,314.56349186104046,3.82842712474619,0.0,0.0,S2403,S2403_081.png
0.0,288.5218613006978,17.31370849898476,0.0,0.0,S2403,S2403_082.png
0.0,247.82337649086284,0.0,0.0,0.0,S2403,S2403_083.png
0.0,235.58073580374355,8.82842712474619,0.0,0.0,S2403,S2403_084.png
0.0,220.99494936611666,1.4142135623730951,0.0,0.0,S2403,S2403_085.png
0.0,172.61017305526642,4.82842712474619,0.0,0.0,S2403,S2403_086.png
0.0,204.58073580374355,9.65685424949238,0.0,0.0,S2403,S2403_087.png
0.0,178.1959594928933,1.4142135623730951,0.0,0.0,S2403,S2403_088.png
0.0,170.8528137423857,0.0,0.0,0.0,S2403,S2403_089.png
0.0,159.95331880577405,0.0,0.0,0.0,S2403,S2403_090.png
0.0,123.81118318204308,0.0,0.0,0.0,S2403,S2403_091.png
0.0,105.42640687119285,6.242640687119286,0.0,0.0,S2403,S2403_092.png
0.0,135.98275605729688,0.0,0.0,0.0,S2403,S2403_093.png
0.0,105.42640687119285,0.0,0.0,0.0,S2403,S2403_094.png
0.0,71.2842712474619,7.82842712474619,0.0,0.0,S2403,S2403_095.png
0.0,95.18376618407356,0.0,0.0,0.0,S2403,S2403_096.png
0.0,70.698484809835,0.0,0.0,0.0,S2403,S2403_097.png
0.0,81.35533905932738,2.8284271247461903,0.0,0.0,S2403,S2403_098.png
0.0,39.31370849898476,0.0,0.0,0.0,S2403,S2403_099.png
0.0,21.071067811865476,0.0,0.0,0.0,S2403,S2403_100.png
0.0,15.071067811865476,0.0,0.0,0.0,S2403,S2403_101.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_102.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_104.png
