soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,109,0.0,23780.571413994916,595.1391770309007,0.0,0.0
C2003,93,0.0,15425.182602278735,286.56349186104046,1.0,0.0
C2609,107,0.0,17635.338156700564,260.3919189857866,3.414213562373095,0.0
C2803,112,0.0,17955.46600697442,583.239682094289,1.0,0.0
C5608,109,0.0,15669.003886728548,114.88225099390857,0.0,0.0
S1510,104,0.0,7216.93592618629,3.82842712474619,0.0,0.0
S1919,107,0.0,19332.934403343454,85.32590180780451,0.0,0.0
S2307,102,0.0,13455.156990171821,74.18376618407356,0.0,0.0
S2403,104,0.0,19625.325096839966,295.84776310850236,3.414213562373095,0.0
S3117,106,0.0,16594.61319323204,126.36753236814714,0.0,0.0
S3603,107,0.0,15932.140971718394,163.50966799187808,0.0,0.0
