Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,1.0,0.0,0.0,0.0,S2403,S2403_006.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_008.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_009.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_010.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_011.png
0.0,2.414213562373095,0.0,0.0,0.0,S2403,S2403_016.png
0.0,2.414213562373095,0.0,0.0,0.0,S2403,S2403_017.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_019.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_020.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_022.png
0.0,2.414213562373095,0.0,0.0,0.0,S2403,S2403_023.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_024.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_025.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_029.png
0.0,4.0,0.0,0.0,0.0,S2403,S2403_031.png
0.0,3.414213562373095,0.0,0.0,0.0,S2403,S2403_032.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_033.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_035.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_036.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_037.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_041.png
0.0,1.4142135623730951,0.0,0.0,0.0,S2403,S2403_043.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_044.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_045.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_046.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_047.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_050.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_052.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_053.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_054.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_055.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_056.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_057.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_058.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_059.png
0.0,2.8284271247461903,0.0,0.0,0.0,S2403,S2403_061.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_062.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_063.png
0.0,4.0,0.0,0.0,0.0,S2403,S2403_064.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_066.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_067.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_068.png
0.0,1.4142135623730951,0.0,0.0,0.0,S2403,S2403_069.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_070.png
0.0,1.4142135623730951,0.0,0.0,0.0,S2403,S2403_072.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_073.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_074.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_076.png
0.0,2.414213562373095,0.0,0.0,0.0,S2403,S2403_077.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_078.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_079.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_080.png
0.0,5.414213562373095,0.0,0.0,0.0,S2403,S2403_081.png
0.0,4.0,0.0,0.0,0.0,S2403,S2403_082.png
0.0,3.414213562373095,0.0,0.0,0.0,S2403,S2403_083.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_084.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_085.png
0.0,1.4142135623730951,0.0,0.0,0.0,S2403,S2403_086.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_091.png
0.0,7.82842712474619,0.0,0.0,0.0,S2403,S2403_092.png
0.0,4.0,0.0,0.0,0.0,S2403,S2403_093.png
0.0,4.414213562373095,0.0,0.0,0.0,S2403,S2403_094.png
0.0,5.414213562373095,0.0,0.0,0.0,S2403,S2403_095.png
0.0,4.0,0.0,0.0,0.0,S2403,S2403_097.png
0.0,1.4142135623730951,0.0,0.0,0.0,S2403,S2403_098.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_100.png
0.0,5.414213562373095,0.0,0.0,0.0,S2403,S2403_101.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_102.png
0.0,2.414213562373095,0.0,0.0,0.0,S2403,S2403_103.png
0.0,5.414213562373095,0.0,0.0,0.0,S2403,S2403_104.png
0.0,4.0,0.0,0.0,0.0,S2403,S2403_105.png
0.0,5.0,0.0,0.0,0.0,S2403,S2403_106.png
0.0,5.82842712474619,0.0,0.0,0.0,S2403,S2403_107.png
0.0,2.8284271247461903,0.0,0.0,0.0,S2403,S2403_109.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_110.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_112.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_113.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_114.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_115.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_116.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_117.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_118.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_119.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_120.png
0.0,4.82842712474619,0.0,0.0,0.0,S2403,S2403_121.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_122.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_123.png
0.0,5.0,0.0,0.0,0.0,S2403,S2403_124.png
0.0,3.414213562373095,0.0,0.0,0.0,S2403,S2403_125.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_126.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_127.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_128.png
0.0,7.0,0.0,0.0,0.0,S2403,S2403_129.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_130.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_131.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_133.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_134.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_137.png
0.0,3.414213562373095,0.0,0.0,0.0,S2403,S2403_138.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_139.png
0.0,3.414213562373095,0.0,0.0,0.0,S2403,S2403_140.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_141.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_142.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_143.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_145.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_148.png
0.0,2.414213562373095,0.0,0.0,0.0,S2403,S2403_151.png
0.0,4.82842712474619,0.0,0.0,0.0,S2403,S2403_152.png
0.0,4.414213562373095,0.0,0.0,0.0,S2403,S2403_153.png
0.0,4.0,0.0,0.0,0.0,S2403,S2403_154.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_155.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_156.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_157.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_158.png
0.0,4.0,0.0,0.0,0.0,S2403,S2403_160.png
0.0,4.414213562373095,0.0,0.0,0.0,S2403,S2403_161.png
0.0,2.414213562373095,0.0,0.0,0.0,S2403,S2403_162.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_163.png
0.0,5.0,0.0,0.0,0.0,S2403,S2403_164.png
0.0,4.414213562373095,0.0,0.0,0.0,S2403,S2403_165.png
0.0,4.0,0.0,0.0,0.0,S2403,S2403_166.png
0.0,6.414213562373095,0.0,0.0,0.0,S2403,S2403_167.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_168.png
0.0,5.414213562373095,0.0,0.0,0.0,S2403,S2403_169.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_170.png
0.0,9.242640687119286,0.0,0.0,0.0,S2403,S2403_172.png
0.0,3.414213562373095,0.0,0.0,0.0,S2403,S2403_173.png
0.0,5.82842712474619,0.0,0.0,0.0,S2403,S2403_174.png
0.0,4.0,0.0,0.0,0.0,S2403,S2403_175.png
0.0,13.82842712474619,0.0,0.0,0.0,S2403,S2403_176.png
0.0,3.8284271247461903,0.0,0.0,0.0,S2403,S2403_177.png
0.0,5.242640687119286,0.0,0.0,0.0,S2403,S2403_178.png
0.0,6.0,0.0,0.0,0.0,S2403,S2403_179.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_180.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_181.png
0.0,1.0,0.0,0.0,0.0,S2403,S2403_182.png
0.0,8.414213562373096,0.0,0.0,0.0,S2403,S2403_184.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_185.png
0.0,4.82842712474619,0.0,0.0,0.0,S2403,S2403_186.png
0.0,3.0,0.0,0.0,0.0,S2403,S2403_187.png
0.0,4.0,0.0,0.0,0.0,S2403,S2403_188.png
0.0,7.414213562373095,0.0,0.0,0.0,S2403,S2403_189.png
0.0,6.0,0.0,0.0,0.0,S2403,S2403_190.png
0.0,2.0,1.4142135623730951,0.0,0.0,S2403,S2403_191.png
0.0,2.0,0.0,0.0,0.0,S2403,S2403_192.png
