Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,1.0,0.0,0.0,0.0,C2803,C2803_004.png
0.0,1.0,0.0,0.0,0.0,C2803,C2803_005.png
0.0,4.0,0.0,0.0,0.0,C2803,C2803_006.png
0.0,4.414213562373095,0.0,0.0,0.0,C2803,C2803_007.png
0.0,6.414213562373095,0.0,0.0,0.0,C2803,C2803_008.png
0.0,4.0,0.0,0.0,0.0,C2803,C2803_009.png
0.0,16.48528137423857,0.0,0.0,0.0,C2803,C2803_010.png
0.0,8.82842712474619,3.414213562373095,0.0,0.0,C2803,C2803_011.png
0.0,21.656854249492383,5.656854249492381,0.0,0.0,C2803,C2803_012.png
0.0,19.48528137423857,0.0,0.0,0.0,C2803,C2803_013.png
0.0,5.414213562373095,1.4142135623730951,0.0,0.0,C2803,C2803_014.png
0.0,13.65685424949238,3.414213562373095,0.0,0.0,C2803,C2803_015.png
0.0,35.14213562373095,2.0,0.0,0.0,C2803,C2803_016.png
0.0,25.899494936611667,0.0,0.0,0.0,C2803,C2803_017.png
0.0,5.414213562373095,0.0,0.0,0.0,C2803,C2803_020.png
0.0,25.65685424949238,0.0,0.0,0.0,C2803,C2803_021.png
0.0,33.89949493661167,2.414213562373095,0.0,0.0,C2803,C2803_022.png
0.0,28.899494936611667,1.4142135623730951,0.0,0.0,C2803,C2803_023.png
0.0,22.48528137423857,2.414213562373095,0.0,0.0,C2803,C2803_024.png
0.0,24.242640687119284,0.0,0.0,0.0,C2803,C2803_025.png
0.0,32.65685424949238,0.0,0.0,0.0,C2803,C2803_026.png
0.0,29.242640687119284,0.0,0.0,0.0,C2803,C2803_027.png
0.0,21.65685424949238,0.0,0.0,0.0,C2803,C2803_028.png
0.0,15.82842712474619,0.0,0.0,0.0,C2803,C2803_029.png
0.0,19.485281374238568,3.414213562373095,0.0,0.0,C2803,C2803_030.png
0.0,14.82842712474619,2.414213562373095,0.0,0.0,C2803,C2803_031.png
0.0,26.48528137423857,1.4142135623730951,0.0,0.0,C2803,C2803_032.png
0.0,24.31370849898476,0.0,0.0,0.0,C2803,C2803_033.png
0.0,22.48528137423857,1.4142135623730951,0.0,0.0,C2803,C2803_034.png
0.0,20.242640687119284,1.4142135623730951,0.0,0.0,C2803,C2803_035.png
0.0,21.48528137423857,3.414213562373095,0.0,0.0,C2803,C2803_036.png
0.0,34.89949493661167,2.414213562373095,0.0,0.0,C2803,C2803_037.png
0.0,24.48528137423857,3.414213562373095,0.0,0.0,C2803,C2803_038.png
0.0,38.72792206135786,1.4142135623730951,0.0,0.0,C2803,C2803_039.png
0.0,33.31370849898476,0.0,0.0,0.0,C2803,C2803_040.png
0.0,30.071067811865476,8.82842712474619,0.0,0.0,C2803,C2803_041.png
0.0,38.97056274847714,2.0,0.0,0.0,C2803,C2803_042.png
0.0,16.071067811865476,0.0,0.0,0.0,C2803,C2803_043.png
0.0,17.414213562373096,0.0,0.0,0.0,C2803,C2803_044.png
0.0,22.48528137423857,0.0,0.0,0.0,C2803,C2803_045.png
0.0,45.55634918610404,1.4142135623730951,0.0,0.0,C2803,C2803_046.png
0.0,37.14213562373095,2.414213562373095,0.0,0.0,C2803,C2803_047.png
0.0,29.899494936611667,1.0,0.0,0.0,C2803,C2803_048.png
0.0,19.65685424949238,1.4142135623730951,0.0,0.0,C2803,C2803_049.png
0.0,35.89949493661167,0.0,0.0,0.0,C2803,C2803_050.png
0.0,31.556349186104043,2.8284271247461903,0.0,0.0,C2803,C2803_051.png
0.0,23.65685424949238,2.414213562373095,0.0,0.0,C2803,C2803_052.png
0.0,29.65685424949238,0.0,0.0,0.0,C2803,C2803_053.png
0.0,28.071067811865476,0.0,0.0,0.0,C2803,C2803_054.png
0.0,23.242640687119284,0.0,0.0,0.0,C2803,C2803_055.png
0.0,21.48528137423857,0.0,0.0,0.0,C2803,C2803_056.png
0.0,16.65685424949238,0.0,0.0,0.0,C2803,C2803_057.png
0.0,16.242640687119284,0.0,0.0,0.0,C2803,C2803_058.png
0.0,20.242640687119284,0.0,0.0,0.0,C2803,C2803_059.png
0.0,27.071067811865476,0.0,0.0,0.0,C2803,C2803_060.png
0.0,26.899494936611667,1.4142135623730951,0.0,0.0,C2803,C2803_061.png
0.0,25.071067811865476,4.414213562373095,0.0,0.0,C2803,C2803_062.png
0.0,35.89949493661167,0.0,0.0,0.0,C2803,C2803_063.png
0.0,39.72792206135785,0.0,0.0,0.0,C2803,C2803_064.png
0.0,15.65685424949238,4.242640687119286,0.0,0.0,C2803,C2803_065.png
0.0,28.899494936611664,0.0,0.0,0.0,C2803,C2803_066.png
0.0,26.48528137423857,4.82842712474619,0.0,0.0,C2803,C2803_067.png
0.0,18.65685424949238,1.4142135623730951,0.0,0.0,C2803,C2803_068.png
0.0,22.48528137423857,2.414213562373095,0.0,0.0,C2803,C2803_069.png
0.0,34.89949493661167,4.414213562373095,0.0,0.0,C2803,C2803_070.png
0.0,19.82842712474619,1.4142135623730951,0.0,0.0,C2803,C2803_071.png
0.0,28.48528137423857,12.414213562373096,0.0,0.0,C2803,C2803_072.png
0.0,26.242640687119284,0.0,0.0,0.0,C2803,C2803_073.png
0.0,27.727922061357855,0.0,0.0,0.0,C2803,C2803_074.png
0.0,20.65685424949238,0.0,0.0,0.0,C2803,C2803_075.png
0.0,11.414213562373096,0.0,0.0,0.0,C2803,C2803_076.png
0.0,15.242640687119284,0.0,0.0,0.0,C2803,C2803_077.png
0.0,27.31370849898476,0.0,0.0,0.0,C2803,C2803_078.png
