soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,87,0.0,554.8893936688451,26.556349186104043,0.0,0.0
C2003,86,0.0,1052.8965363437815,20.071067811865476,0.0,0.0
C2609,101,0.0,3849.5983386839443,472.0731598529185,0.0,0.0
C2803,104,0.0,2226.349421873667,152.4386001800126,0.0,0.0
C5608,100,0.0,2399.047906683502,199.99494936611666,0.0,0.0
C6405,103,0.0,1930.0113267570425,193.8528137423857,0.0,0.0
S1510,95,0.0,1576.5849198858498,120.32590180780453,0.0,0.0
S1919,95,0.0,1663.3717164502532,28.97056274847714,0.0,0.0
S2307,98,0.0,3014.5424227737294,392.81832585697947,0.0,0.0
S2403,98,0.0,2239.574818618083,139.78174593052023,0.0,0.0
S3117,105,0.0,3440.1698397716996,357.81832585697947,0.0,0.0
S3603,100,0.0,2076.3149339882607,153.02438661763952,0.0,0.0
