Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,37.242640687119284,40.04163056034262,0.0,0.0,S2403,S2403_000.png
0.0,29.727922061357855,30.82842712474619,5.0,0.0,S2403,S2403_001.png
0.0,19.48528137423857,0.0,0.0,0.0,S2403,S2403_002.png
0.0,22.242640687119284,10.071067811865476,0.0,0.0,S2403,S2403_003.png
0.0,15.414213562373096,25.14213562373095,0.0,0.0,S2403,S2403_004.png
0.0,17.242640687119284,25.97056274847714,0.0,0.0,S2403,S2403_005.png
0.0,30.071067811865476,26.213203435596427,5.414213562373095,0.0,S2403,S2403_006.png
0.0,36.48528137423857,43.45584412271571,0.0,0.0,S2403,S2403_007.png
0.0,34.65685424949238,52.2842712474619,0.0,0.0,S2403,S2403_008.png
0.0,48.55634918610404,33.97056274847714,10.65685424949238,0.0,S2403,S2403_009.png
0.0,36.89949493661167,20.899494936611664,5.82842712474619,0.0,S2403,S2403_010.png
0.0,21.65685424949238,23.31370849898476,9.0,0.0,S2403,S2403_011.png
0.0,23.414213562373096,11.65685424949238,0.0,0.0,S2403,S2403_012.png
0.0,35.242640687119284,1.0,0.0,0.0,S2403,S2403_013.png
0.0,19.242640687119284,11.242640687119284,0.0,0.0,S2403,S2403_014.png
0.0,26.65685424949238,0.0,0.0,0.0,S2403,S2403_015.png
0.0,31.414213562373096,2.8284271247461903,0.0,0.0,S2403,S2403_016.png
0.0,27.242640687119284,27.970562748477143,0.0,0.0,S2403,S2403_017.png
0.0,28.899494936611667,60.183766184073576,1.0,0.0,S2403,S2403_018.png
0.0,42.97056274847714,60.87005768508881,15.656854249492381,0.0,S2403,S2403_019.png
0.0,37.071067811865476,33.31370849898476,0.0,0.0,S2403,S2403_020.png
0.0,37.071067811865476,14.071067811865476,4.0,0.0,S2403,S2403_021.png
0.0,46.65685424949238,26.38477631085024,0.0,0.0,S2403,S2403_022.png
0.0,46.14213562373095,53.76955262170048,0.0,0.0,S2403,S2403_023.png
0.0,24.82842712474619,11.485281374238571,0.0,0.0,S2403,S2403_024.png
0.0,19.071067811865476,5.82842712474619,0.0,0.0,S2403,S2403_025.png
