Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,1.0,0.0,0.0,0.0,C1216,C1216_021.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_030.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_055.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_107.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_190.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_251.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_259.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_261.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_269.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_270.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_275.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_286.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_296.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_297.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_298.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_299.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_304.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_311.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_319.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_320.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_334.png
0.0,2.0,0.0,0.0,0.0,C1216,C1216_335.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_343.png
0.0,2.0,0.0,0.0,0.0,C1216,C1216_345.png
0.0,2.414213562373095,0.0,0.0,0.0,C1216,C1216_346.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_364.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_365.png
0.0,1.4142135623730951,0.0,0.0,0.0,C1216,C1216_366.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_367.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_371.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_380.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_395.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_407.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_414.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_415.png
0.0,2.0,0.0,0.0,0.0,C1216,C1216_416.png
0.0,1.0,0.0,0.0,0.0,C1216,C1216_417.png
