soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,5,0.0,5.414213562373095,0.0,0.0,0.0
C2003,8,0.0,8.0,0.0,0.0,0.0
C2609,10,0.0,10.82842712474619,0.0,0.0,0.0
C2803,14,0.0,14.414213562373096,0.0,0.0,0.0
C5608,0,0.0,0.0,0.0,0.0,0.0
C6405,3,0.0,3.0,0.0,0.0,0.0
S1510,6,0.0,7.414213562373095,0.0,0.0,0.0
S1919,11,0.0,12.414213562373096,0.0,0.0,0.0
S2307,10,0.0,10.0,0.0,0.0,0.0
S2403,1,0.0,1.0,0.0,0.0,0.0
S3117,1,0.0,1.0,0.0,0.0,0.0
S3603,0,0.0,0.0,0.0,0.0,0.0
