Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,2.0,0.0,0.0,0.0,S1919,S1919_006.png
0.0,9.242640687119286,0.0,0.0,0.0,S1919,S1919_007.png
0.0,27.899494936611664,5.242640687119286,0.0,0.0,S1919,S1919_008.png
0.0,32.89949493661167,8.65685424949238,0.0,0.0,S1919,S1919_009.png
0.0,51.97056274847714,11.65685424949238,0.0,0.0,S1919,S1919_010.png
0.0,59.627416997969526,21.556349186104047,0.0,0.0,S1919,S1919_011.png
0.0,59.87005768508881,5.82842712474619,0.0,0.0,S1919,S1919_012.png
0.0,33.48528137423857,13.727922061357857,0.0,0.0,S1919,S1919_013.png
0.0,59.970562748477136,14.242640687119284,0.0,0.0,S1919,S1919_014.png
0.0,74.21320343559643,37.14213562373095,0.0,0.0,S1919,S1919_015.png
0.0,87.62741699796952,45.87005768508881,0.0,0.0,S1919,S1919_016.png
0.0,104.2842712474619,29.313708498984763,0.0,4.82842712474619,S1919,S1919_017.png
0.0,108.698484809835,34.79898987322333,3.414213562373095,0.0,S1919,S1919_018.png
0.0,74.79898987322333,34.55634918610404,0.0,0.0,S1919,S1919_019.png
0.0,120.59797974644665,24.727922061357855,4.82842712474619,0.0,S1919,S1919_020.png
0.0,54.89949493661166,0.0,0.0,0.0,S1919,S1919_021.png
0.0,29.48528137423857,21.31370849898476,0.0,0.0,S1919,S1919_022.png
0.0,59.071067811865476,13.65685424949238,0.0,0.0,S1919,S1919_023.png
0.0,65.89949493661166,22.31370849898476,0.0,0.0,S1919,S1919_024.png
0.0,76.62741699796952,24.970562748477143,0.0,0.0,S1919,S1919_025.png
0.0,122.76955262170047,21.14213562373095,1.0,0.0,S1919,S1919_026.png
0.0,118.5269119345812,18.14213562373095,0.0,0.0,S1919,S1919_027.png
0.0,100.2842712474619,18.31370849898476,1.0,0.0,S1919,S1919_028.png
0.0,123.18376618407356,7.82842712474619,0.0,0.0,S1919,S1919_029.png
0.0,97.11269837220809,48.04163056034261,0.0,0.0,S1919,S1919_030.png
0.0,99.45584412271572,32.21320343559643,0.0,0.0,S1919,S1919_031.png
0.0,124.5269119345812,50.698484809834994,0.0,0.0,S1919,S1919_032.png
0.0,130.01219330881975,47.55634918610404,3.0,0.0,S1919,S1919_033.png
0.0,171.3259018078045,39.970562748477136,3.0,0.0,S1919,S1919_034.png
0.0,131.66904755831214,77.84062043356595,2.0,0.0,S1919,S1919_035.png
0.0,114.59797974644665,128.8111831820431,0.0,0.0,S1919,S1919_036.png
0.0,135.84062043356596,80.59797974644667,0.0,0.0,S1919,S1919_037.png
0.0,131.59797974644667,53.2842712474619,0.0,0.0,S1919,S1919_038.png
0.0,161.1543289325507,73.35533905932738,0.0,0.0,S1919,S1919_039.png
0.0,145.74011537017762,58.35533905932738,0.0,0.0,S1919,S1919_040.png
0.0,178.36753236814712,23.727922061357855,5.82842712474619,0.0,S1919,S1919_041.png
0.0,182.36753236814712,33.14213562373095,0.0,0.0,S1919,S1919_042.png
0.0,156.8111831820431,49.2842712474619,2.0,0.0,S1919,S1919_043.png
0.0,167.84062043356593,55.45584412271571,0.0,0.0,S1919,S1919_044.png
0.0,170.66904755831214,53.04163056034261,2.0,0.0,S1919,S1919_045.png
0.0,200.46803743153546,66.2842712474619,0.0,0.0,S1919,S1919_046.png
0.0,206.05382386916236,38.21320343559643,0.0,0.0,S1919,S1919_047.png
0.0,184.3259018078045,69.698484809835,1.4142135623730951,0.0,S1919,S1919_048.png
0.0,161.49747468305833,47.798989873223334,0.0,0.0,S1919,S1919_049.png
0.0,121.87005768508881,46.2842712474619,0.0,0.0,S1919,S1919_050.png
0.0,115.76955262170047,28.14213562373095,0.0,0.0,S1919,S1919_051.png
0.0,139.08326112068522,25.14213562373095,7.0,0.0,S1919,S1919_052.png
0.0,121.5269119345812,52.2842712474619,0.0,0.0,S1919,S1919_053.png
0.0,149.25483399593904,44.62741699796952,2.414213562373095,0.0,S1919,S1919_054.png
0.0,118.52691193458118,52.04163056034262,0.0,0.0,S1919,S1919_055.png
0.0,130.59797974644667,27.79898987322333,1.0,0.0,S1919,S1919_056.png
0.0,136.3259018078045,35.384776310850235,0.0,0.0,S1919,S1919_057.png
0.0,118.01219330881976,64.76955262170047,0.0,0.0,S1919,S1919_058.png
0.0,141.84062043356596,14.65685424949238,0.0,0.0,S1919,S1919_059.png
0.0,139.76955262170046,45.87005768508881,0.0,0.0,S1919,S1919_060.png
0.0,133.59797974644667,52.526911934581186,0.0,0.0,S1919,S1919_061.png
