Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,1.0,0.0,0.0,0.0,C2609,C2609_008.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2609,C2609_010.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_041.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2609,C2609_042.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_046.png
0.0,3.414213562373095,0.0,0.0,0.0,C2609,C2609_054.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_056.png
0.0,2.8284271247461903,0.0,0.0,0.0,C2609,C2609_061.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_068.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_073.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_076.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_080.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_087.png
0.0,1.0,0.0,0.0,0.0,C2609,C2609_102.png
