soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,2,0.0,2.0,0.0,0.0,0.0
C2003,15,0.0,18.242640687119284,0.0,0.0,0.0
C2609,14,0.0,19.071067811865476,0.0,0.0,0.0
C2803,13,0.0,16.65685424949238,0.0,0.0,0.0
C5608,0,0.0,0.0,0.0,0.0,0.0
C6405,2,0.0,2.0,0.0,0.0,0.0
S1510,5,0.0,5.414213562373095,0.0,0.0,0.0
S1919,9,0.0,18.485281374238568,0.0,0.0,0.0
S2307,12,0.0,17.071067811865476,0.0,0.0,0.0
S2403,7,0.0,9.82842712474619,0.0,0.0,0.0
S3117,2,0.0,2.414213562373095,0.0,0.0,0.0
S3603,3,0.0,3.0,0.0,0.0,0.0
