soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C2003,93,0.0,9269.145812091558,5602.77236253775,425.5340546095176,0.0
C2609,107,0.0,11437.730731977408,6019.25468531916,295.16652224137044,6.82842712474619
C2803,111,0.0,10623.361107568207,4723.64537881567,458.58787847868,18.727922061357855
C5608,108,0.0,11143.520487134643,4383.896028729503,267.33809511662423,0.0
C6405,105,0.0,11190.922507388195,4557.523445727473,278.69343417595167,3.82842712474619
S1510,104,0.0,9449.832103592573,5238.137802864845,455.49242404917493,1.0
S1919,106,0.0,13282.374526366304,9288.773946964526,605.9898987322333,4.414213562373095
S2307,102,0.0,8505.3569234861,6431.445594178169,359.45079348883235,0.0
S2403,104,0.0,11901.34891425939,6068.745017327281,532.9188309203678,0.0
S3117,107,0.0,11363.544873752282,6622.114641736482,570.144227664784,1.4142135623730951
S3603,107,0.0,10114.988524566179,5647.355190382548,241.0243866176395,0.0
C1216,107,0.0,12614.107499061543,5954.698336133055,315.99494936611666,9.485281374238571
