soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,504,0.0,17699.058218211987,7022.16045637893,175.5685424949238,7.65685424949238
C2003,504,0.0,11772.301366513384,3785.6828252939067,85.18376618407356,1.0
C2609,498,0.0,12806.96031280393,6416.038523290733,206.6812408671319,8.242640687119286
C2803,504,0.0,13001.190760182231,4678.946894005835,205.8528137423857,6.82842712474619
C5608,493,0.0,12097.332895805961,5189.5469657933345,176.95331880577405,0.0
C6405,490,0.0,12216.617167053424,5208.23325729435,195.78174593052023,2.414213562373095
S1510,500,0.0,9763.40273812855,5421.3409050326745,187.22539674441617,11.071067811865476
S1919,502,0.0,14458.574669941303,7589.868175904755,294.1370849898476,3.414213562373095
S2307,490,0.0,9817.15086272544,4389.63318550685,122.35533905932738,1.4142135623730951
S2403,499,0.0,12803.653746979882,6975.238666865732,204.58073580374355,5.242640687119286
S3117,488,0.0,11524.713488034706,6177.568393818144,322.5929291125633,11.071067811865476
S3603,495,0.0,10128.652521490607,4817.43931805501,207.095454429505,4.82842712474619
