Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,2.0,0.0,0.0,0.0,S1510,S1510_001.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_003.png
0.0,9.65685424949238,0.0,0.0,0.0,S1510,S1510_005.png
0.0,1.0,4.242640687119286,0.0,0.0,S1510,S1510_006.png
0.0,5.414213562373095,4.414213562373095,0.0,0.0,S1510,S1510_007.png
0.0,5.414213562373095,0.0,0.0,0.0,S1510,S1510_008.png
0.0,6.82842712474619,0.0,0.0,0.0,S1510,S1510_009.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_010.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_011.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_016.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_017.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_018.png
0.0,0.0,2.414213562373095,0.0,0.0,S1510,S1510_019.png
0.0,1.4142135623730951,0.0,0.0,0.0,S1510,S1510_021.png
0.0,2.414213562373095,0.0,0.0,0.0,S1510,S1510_023.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_028.png
0.0,3.0,0.0,0.0,0.0,S1510,S1510_029.png
0.0,4.82842712474619,0.0,0.0,0.0,S1510,S1510_030.png
0.0,1.0,4.242640687119286,0.0,0.0,S1510,S1510_031.png
0.0,3.414213562373095,0.0,0.0,0.0,S1510,S1510_032.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_033.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_034.png
0.0,3.414213562373095,0.0,0.0,0.0,S1510,S1510_035.png
0.0,2.414213562373095,0.0,0.0,0.0,S1510,S1510_036.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_040.png
0.0,4.0,0.0,0.0,0.0,S1510,S1510_041.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_042.png
0.0,3.0,0.0,0.0,0.0,S1510,S1510_043.png
0.0,3.0,0.0,0.0,0.0,S1510,S1510_044.png
0.0,1.0,1.0,0.0,0.0,S1510,S1510_045.png
0.0,2.414213562373095,0.0,0.0,0.0,S1510,S1510_046.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_047.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_053.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_054.png
0.0,3.8284271247461903,0.0,0.0,0.0,S1510,S1510_055.png
0.0,5.414213562373095,0.0,0.0,0.0,S1510,S1510_057.png
0.0,4.82842712474619,0.0,0.0,0.0,S1510,S1510_058.png
0.0,4.414213562373095,0.0,0.0,0.0,S1510,S1510_059.png
0.0,7.656854249492381,0.0,0.0,0.0,S1510,S1510_060.png
0.0,3.8284271247461903,0.0,0.0,0.0,S1510,S1510_061.png
0.0,6.414213562373095,0.0,0.0,0.0,S1510,S1510_065.png
0.0,4.0,0.0,0.0,0.0,S1510,S1510_066.png
0.0,3.0,1.4142135623730951,0.0,0.0,S1510,S1510_067.png
0.0,9.242640687119284,0.0,0.0,0.0,S1510,S1510_068.png
0.0,1.0,1.0,0.0,0.0,S1510,S1510_069.png
0.0,2.0,2.8284271247461903,0.0,0.0,S1510,S1510_070.png
0.0,4.414213562373095,0.0,0.0,0.0,S1510,S1510_071.png
0.0,2.414213562373095,0.0,0.0,0.0,S1510,S1510_076.png
0.0,4.414213562373095,0.0,0.0,0.0,S1510,S1510_077.png
0.0,2.0,2.8284271247461903,0.0,0.0,S1510,S1510_078.png
0.0,2.414213562373095,2.8284271247461903,0.0,0.0,S1510,S1510_079.png
0.0,3.0,0.0,0.0,0.0,S1510,S1510_080.png
0.0,8.65685424949238,0.0,1.0,0.0,S1510,S1510_081.png
0.0,3.414213562373095,0.0,0.0,0.0,S1510,S1510_082.png
0.0,2.414213562373095,1.4142135623730951,0.0,0.0,S1510,S1510_083.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_084.png
0.0,1.4142135623730951,0.0,0.0,0.0,S1510,S1510_085.png
0.0,4.0,0.0,0.0,0.0,S1510,S1510_089.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_090.png
0.0,12.242640687119284,0.0,0.0,0.0,S1510,S1510_091.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_092.png
0.0,2.8284271247461903,6.242640687119286,0.0,0.0,S1510,S1510_093.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_094.png
0.0,7.242640687119285,0.0,0.0,0.0,S1510,S1510_095.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_096.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_097.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_101.png
0.0,1.4142135623730951,0.0,0.0,0.0,S1510,S1510_103.png
0.0,0.0,1.0,0.0,0.0,S1510,S1510_104.png
0.0,1.0,2.414213562373095,0.0,0.0,S1510,S1510_105.png
0.0,0.0,1.0,0.0,0.0,S1510,S1510_106.png
0.0,4.82842712474619,0.0,0.0,0.0,S1510,S1510_107.png
0.0,4.414213562373095,0.0,0.0,0.0,S1510,S1510_115.png
0.0,8.82842712474619,0.0,0.0,0.0,S1510,S1510_116.png
0.0,4.414213562373095,1.4142135623730951,0.0,0.0,S1510,S1510_117.png
0.0,8.0,0.0,0.0,0.0,S1510,S1510_118.png
0.0,6.414213562373095,0.0,0.0,0.0,S1510,S1510_119.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_120.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_124.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_125.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_127.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_128.png
0.0,0.0,2.8284271247461903,0.0,0.0,S1510,S1510_129.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_131.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_132.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_134.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_135.png
0.0,3.414213562373095,0.0,0.0,0.0,S1510,S1510_137.png
0.0,2.414213562373095,0.0,0.0,0.0,S1510,S1510_138.png
0.0,3.0,0.0,0.0,0.0,S1510,S1510_139.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_140.png
0.0,4.0,1.0,0.0,0.0,S1510,S1510_141.png
0.0,6.414213562373095,0.0,0.0,0.0,S1510,S1510_142.png
0.0,4.0,0.0,0.0,0.0,S1510,S1510_143.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_144.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_145.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_148.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_149.png
0.0,2.414213562373095,0.0,0.0,0.0,S1510,S1510_150.png
0.0,7.82842712474619,0.0,0.0,0.0,S1510,S1510_151.png
0.0,2.414213562373095,0.0,0.0,0.0,S1510,S1510_152.png
0.0,4.414213562373095,5.242640687119285,0.0,0.0,S1510,S1510_153.png
0.0,1.0,1.4142135623730951,0.0,0.0,S1510,S1510_154.png
0.0,4.82842712474619,0.0,0.0,0.0,S1510,S1510_155.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_161.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_163.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_164.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_165.png
0.0,1.4142135623730951,0.0,0.0,0.0,S1510,S1510_166.png
0.0,3.414213562373095,0.0,0.0,0.0,S1510,S1510_167.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_168.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_173.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_174.png
0.0,3.0,0.0,0.0,0.0,S1510,S1510_175.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_176.png
0.0,3.0,0.0,0.0,0.0,S1510,S1510_177.png
0.0,4.0,0.0,0.0,0.0,S1510,S1510_178.png
0.0,3.0,0.0,0.0,0.0,S1510,S1510_179.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_180.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_181.png
0.0,1.4142135623730951,0.0,0.0,0.0,S1510,S1510_187.png
0.0,4.414213562373095,0.0,0.0,0.0,S1510,S1510_188.png
0.0,3.414213562373095,0.0,0.0,0.0,S1510,S1510_189.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_190.png
0.0,3.0,0.0,0.0,0.0,S1510,S1510_191.png
0.0,2.414213562373095,0.0,0.0,0.0,S1510,S1510_192.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_198.png
0.0,3.0,1.4142135623730951,0.0,0.0,S1510,S1510_199.png
0.0,2.414213562373095,1.4142135623730951,0.0,0.0,S1510,S1510_200.png
0.0,5.414213562373095,2.414213562373095,0.0,0.0,S1510,S1510_201.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_202.png
0.0,1.4142135623730951,0.0,0.0,0.0,S1510,S1510_203.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_209.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_210.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_212.png
0.0,9.414213562373096,0.0,0.0,0.0,S1510,S1510_213.png
0.0,3.0,0.0,0.0,0.0,S1510,S1510_214.png
0.0,3.0,0.0,0.0,0.0,S1510,S1510_215.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_217.png
0.0,2.414213562373095,0.0,0.0,0.0,S1510,S1510_220.png
0.0,2.0,24.55634918610405,0.0,0.0,S1510,S1510_221.png
0.0,4.414213562373095,0.0,0.0,0.0,S1510,S1510_222.png
0.0,12.242640687119286,0.0,0.0,0.0,S1510,S1510_223.png
0.0,4.414213562373095,0.0,0.0,0.0,S1510,S1510_224.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_227.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_233.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_235.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_237.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_238.png
0.0,7.82842712474619,0.0,0.0,0.0,S1510,S1510_239.png
0.0,3.0,0.0,0.0,0.0,S1510,S1510_240.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_241.png
0.0,3.0,0.0,0.0,0.0,S1510,S1510_245.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_246.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_247.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_248.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_249.png
0.0,3.0,0.0,0.0,0.0,S1510,S1510_250.png
0.0,4.0,0.0,0.0,0.0,S1510,S1510_251.png
0.0,5.414213562373095,0.0,0.0,0.0,S1510,S1510_252.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_253.png
0.0,1.0,2.414213562373095,0.0,0.0,S1510,S1510_257.png
0.0,1.0,1.0,0.0,0.0,S1510,S1510_258.png
0.0,4.414213562373095,1.4142135623730951,0.0,0.0,S1510,S1510_259.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_260.png
0.0,7.414213562373095,1.4142135623730951,0.0,0.0,S1510,S1510_261.png
0.0,6.0,1.4142135623730951,0.0,0.0,S1510,S1510_262.png
0.0,11.414213562373096,0.0,0.0,0.0,S1510,S1510_263.png
0.0,6.414213562373095,0.0,0.0,0.0,S1510,S1510_264.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_265.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_268.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_269.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_270.png
0.0,5.0,0.0,0.0,0.0,S1510,S1510_271.png
0.0,5.0,0.0,0.0,0.0,S1510,S1510_272.png
0.0,5.414213562373095,0.0,0.0,0.0,S1510,S1510_273.png
0.0,6.414213562373095,0.0,0.0,0.0,S1510,S1510_274.png
0.0,8.0,0.0,0.0,0.0,S1510,S1510_275.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_281.png
0.0,1.4142135623730951,0.0,0.0,0.0,S1510,S1510_282.png
0.0,10.242640687119284,0.0,0.0,0.0,S1510,S1510_283.png
0.0,5.0,0.0,0.0,0.0,S1510,S1510_284.png
0.0,8.0,0.0,0.0,0.0,S1510,S1510_285.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_286.png
0.0,4.0,0.0,0.0,0.0,S1510,S1510_287.png
