Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,1.0,0.0,0.0,0.0,C5608,C5608_007.png
0.0,4.414213562373095,0.0,0.0,0.0,C5608,C5608_021.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_029.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_091.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_165.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_187.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_190.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_198.png
0.0,1.4142135623730951,0.0,0.0,0.0,C5608,C5608_215.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_261.png
0.0,2.414213562373095,0.0,0.0,0.0,C5608,C5608_281.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_282.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_283.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_293.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_321.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_331.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_357.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_377.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_405.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_406.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_419.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_441.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_442.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_453.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_454.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_466.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_478.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_490.png
