Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,1.0,0.0,0.0,0.0,C2003,C2003_011.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_012.png
0.0,2.414213562373095,0.0,0.0,0.0,C2003,C2003_013.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_015.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_016.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_019.png
0.0,3.0,0.0,0.0,0.0,C2003,C2003_020.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2003,C2003_022.png
0.0,2.414213562373095,0.0,0.0,0.0,C2003,C2003_023.png
0.0,4.0,0.0,0.0,0.0,C2003,C2003_024.png
0.0,6.0,0.0,0.0,0.0,C2003,C2003_025.png
0.0,2.0,0.0,0.0,0.0,C2003,C2003_026.png
0.0,3.8284271247461903,0.0,0.0,0.0,C2003,C2003_027.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2003,C2003_028.png
0.0,3.414213562373095,0.0,0.0,0.0,C2003,C2003_029.png
0.0,3.0,0.0,0.0,0.0,C2003,C2003_030.png
0.0,2.414213562373095,0.0,0.0,0.0,C2003,C2003_031.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2003,C2003_033.png
0.0,2.0,0.0,0.0,0.0,C2003,C2003_034.png
0.0,3.0,0.0,0.0,0.0,C2003,C2003_035.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_036.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_038.png
0.0,4.242640687119286,0.0,0.0,0.0,C2003,C2003_040.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_041.png
0.0,2.0,0.0,0.0,0.0,C2003,C2003_044.png
0.0,2.0,0.0,0.0,0.0,C2003,C2003_045.png
0.0,5.414213562373095,0.0,0.0,0.0,C2003,C2003_047.png
0.0,9.65685424949238,0.0,0.0,0.0,C2003,C2003_048.png
0.0,2.0,0.0,0.0,0.0,C2003,C2003_049.png
0.0,4.414213562373095,0.0,0.0,0.0,C2003,C2003_051.png
0.0,9.82842712474619,0.0,0.0,0.0,C2003,C2003_052.png
0.0,3.414213562373095,0.0,0.0,0.0,C2003,C2003_054.png
0.0,4.0,0.0,0.0,0.0,C2003,C2003_055.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_056.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_058.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2003,C2003_059.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2003,C2003_064.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_065.png
0.0,2.0,0.0,0.0,0.0,C2003,C2003_067.png
0.0,4.414213562373095,0.0,0.0,0.0,C2003,C2003_068.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_069.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_070.png
0.0,2.0,0.0,0.0,0.0,C2003,C2003_071.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2003,C2003_074.png
0.0,3.82842712474619,0.0,0.0,0.0,C2003,C2003_075.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2003,C2003_076.png
0.0,5.414213562373095,0.0,0.0,0.0,C2003,C2003_077.png
0.0,2.0,0.0,0.0,0.0,C2003,C2003_079.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2003,C2003_084.png
