Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,1.0,0.0,0.0,0.0,S1510,S1510_009.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_010.png
0.0,3.0,0.0,0.0,0.0,S1510,S1510_018.png
0.0,3.414213562373095,0.0,0.0,0.0,S1510,S1510_028.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_043.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_046.png
0.0,3.414213562373095,0.0,0.0,0.0,S1510,S1510_048.png
0.0,6.414213562373095,0.0,0.0,0.0,S1510,S1510_050.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_058.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_061.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_062.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_063.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_064.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_065.png
0.0,3.82842712474619,0.0,0.0,0.0,S1510,S1510_066.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_067.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_070.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_071.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_075.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_076.png
0.0,2.414213562373095,0.0,0.0,0.0,S1510,S1510_078.png
0.0,1.4142135623730951,0.0,0.0,0.0,S1510,S1510_080.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_081.png
0.0,1.4142135623730951,0.0,0.0,0.0,S1510,S1510_082.png
0.0,2.414213562373095,0.0,0.0,0.0,S1510,S1510_084.png
0.0,3.414213562373095,0.0,0.0,0.0,S1510,S1510_087.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_088.png
0.0,2.0,0.0,0.0,0.0,S1510,S1510_089.png
0.0,1.0,0.0,0.0,0.0,S1510,S1510_090.png
