soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,10,0.0,12.82842712474619,0.0,0.0,0.0
C2003,49,0.0,128.42640687119288,0.0,0.0,0.0
C2609,4,0.0,13.414213562373096,0.0,0.0,0.0
C2803,34,0.0,49.72792206135786,2.414213562373095,0.0,0.0
C5608,25,0.0,36.48528137423857,0.0,0.0,0.0
C6405,16,0.0,22.414213562373096,0.0,0.0,0.0
S1510,29,0.0,54.14213562373095,0.0,0.0,0.0
S1919,23,0.0,34.656854249492376,0.0,0.0,0.0
S2307,48,0.0,102.87005768508881,0.0,0.0,0.0
S2403,54,0.0,119.21320343559643,0.0,0.0,0.0
S3117,20,0.0,42.38477631085023,0.0,0.0,0.0
S3603,31,0.0,61.45584412271571,0.0,0.0,0.0
