soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,0,0.0,0.0,0.0,0.0,0.0
C2003,0,0.0,0.0,0.0,0.0,0.0
C2609,103,0.0,2706.407429824935,0.0,0.0,0.0
C2803,0,0.0,0.0,0.0,0.0,0.0
C5608,0,0.0,0.0,0.0,0.0,0.0
C6405,0,0.0,0.0,0.0,0.0,0.0
S1510,0,0.0,0.0,0.0,0.0,0.0
S1919,0,0.0,0.0,0.0,0.0,0.0
S2307,0,0.0,0.0,0.0,0.0,0.0
S2403,0,0.0,0.0,0.0,0.0,0.0
S3117,0,0.0,0.0,0.0,0.0,0.0
S3603,0,0.0,0.0,0.0,0.0,0.0
