Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,1.0,0.0,0.0,0.0,C6405,C6405_003.png
0.0,5.0,0.0,0.0,0.0,C6405,C6405_004.png
0.0,19.485281374238568,0.0,0.0,0.0,C6405,C6405_005.png
0.0,33.72792206135786,2.0,0.0,0.0,C6405,C6405_006.png
0.0,64.45584412271572,2.8284271247461903,0.0,0.0,C6405,C6405_007.png
0.0,63.21320343559643,1.4142135623730951,0.0,0.0,C6405,C6405_008.png
0.0,69.87005768508881,0.0,0.0,0.0,C6405,C6405_009.png
0.0,75.5269119345812,4.82842712474619,0.0,0.0,C6405,C6405_010.png
0.0,117.91168824543142,0.0,0.0,0.0,C6405,C6405_011.png
0.0,148.01219330881975,15.899494936611665,0.0,0.0,C6405,C6405_012.png
0.0,190.53910524340094,17.899494936611667,0.0,0.0,C6405,C6405_013.png
0.0,192.8528137423857,4.82842712474619,0.0,0.0,C6405,C6405_014.png
0.0,184.29646455628165,3.0,0.0,0.0,C6405,C6405_015.png
0.0,178.0538238691624,19.48528137423857,0.0,0.0,C6405,C6405_016.png
0.0,140.39696961967,9.485281374238571,0.0,0.0,C6405,C6405_017.png
0.0,95.59797974644665,9.071067811865476,0.0,0.0,C6405,C6405_018.png
0.0,137.39696961967,0.0,0.0,0.0,C6405,C6405_019.png
0.0,151.1543289325507,7.82842712474619,0.0,0.0,C6405,C6405_020.png
0.0,118.35533905932738,0.0,0.0,0.0,C6405,C6405_021.png
0.0,155.29646455628165,0.0,0.0,0.0,C6405,C6405_022.png
0.0,166.46803743153546,13.485281374238571,0.0,0.0,C6405,C6405_023.png
0.0,178.29646455628165,3.82842712474619,0.0,0.0,C6405,C6405_024.png
0.0,194.3259018078045,9.65685424949238,0.0,0.0,C6405,C6405_025.png
0.0,221.8528137423857,5.242640687119285,0.0,0.0,C6405,C6405_026.png
0.0,187.8528137423857,4.82842712474619,0.0,0.0,C6405,C6405_027.png
0.0,210.58073580374355,8.65685424949238,0.0,0.0,C6405,C6405_028.png
0.0,211.26702730475878,2.8284271247461903,0.0,0.0,C6405,C6405_029.png
0.0,208.8111831820431,11.071067811865476,0.0,0.0,C6405,C6405_030.png
0.0,216.95331880577405,15.313708498984761,0.0,0.0,C6405,C6405_031.png
0.0,259.2375900532359,5.82842712474619,0.0,0.0,C6405,C6405_032.png
0.0,231.4386001800126,23.14213562373095,0.0,0.0,C6405,C6405_033.png
0.0,269.48023074035524,8.242640687119286,0.0,0.0,C6405,C6405_034.png
0.0,219.16652224137047,23.899494936611664,0.0,0.0,C6405,C6405_035.png
0.0,240.75230867899737,11.485281374238571,0.0,0.0,C6405,C6405_036.png
0.0,268.5096679918781,29.556349186104043,0.0,0.0,C6405,C6405_037.png
0.0,261.9238815542512,24.556349186104043,3.82842712474619,0.0,C6405,C6405_038.png
0.0,226.16652224137047,37.79898987322333,0.0,0.0,C6405,C6405_039.png
0.0,207.22539674441617,10.65685424949238,0.0,0.0,C6405,C6405_040.png
0.0,204.0538238691624,8.071067811865476,0.0,0.0,C6405,C6405_041.png
0.0,206.1543289325507,11.899494936611665,0.0,0.0,C6405,C6405_042.png
0.0,198.88225099390857,7.65685424949238,0.0,0.0,C6405,C6405_043.png
0.0,242.92388155425118,1.4142135623730951,0.0,0.0,C6405,C6405_044.png
0.0,258.9238815542512,13.485281374238571,0.0,0.0,C6405,C6405_045.png
0.0,277.8944443027283,18.65685424949238,0.0,0.0,C6405,C6405_046.png
0.0,253.23759005323595,10.071067811865476,0.0,0.0,C6405,C6405_047.png
0.0,267.651803615609,27.48528137423857,0.0,0.0,C6405,C6405_048.png
0.0,258.99494936611666,19.31370849898476,0.0,0.0,C6405,C6405_049.png
0.0,261.19595949289334,16.82842712474619,0.0,0.0,C6405,C6405_050.png
0.0,257.7523086789974,5.82842712474619,0.0,0.0,C6405,C6405_051.png
0.0,229.8528137423857,11.071067811865476,0.0,0.0,C6405,C6405_052.png
0.0,248.61017305526642,7.82842712474619,0.0,0.0,C6405,C6405_053.png
0.0,228.4386001800126,22.556349186104047,0.0,0.0,C6405,C6405_054.png
0.0,244.4386001800126,12.48528137423857,0.0,0.0,C6405,C6405_055.png
0.0,218.98275605729688,15.485281374238571,0.0,0.0,C6405,C6405_056.png
0.0,207.1543289325507,30.14213562373095,0.0,0.0,C6405,C6405_057.png
0.0,221.39696961967,45.62741699796952,1.0,0.0,C6405,C6405_058.png
0.0,235.88225099390857,15.071067811865476,0.0,0.0,C6405,C6405_059.png
0.0,213.95331880577405,15.727922061357855,0.0,0.0,C6405,C6405_060.png
0.0,219.71067811865476,4.414213562373095,0.0,0.0,C6405,C6405_061.png
0.0,264.7228714274745,13.071067811865477,0.0,0.0,C6405,C6405_062.png
0.0,207.88225099390857,21.485281374238568,0.0,2.8284271247461903,C6405,C6405_063.png
0.0,181.9116882454314,16.65685424949238,0.0,0.0,C6405,C6405_064.png
0.0,180.91168824543144,4.242640687119286,0.0,0.0,C6405,C6405_065.png
0.0,211.29646455628165,14.071067811865476,0.0,0.0,C6405,C6405_066.png
0.0,176.63961030678928,18.31370849898476,0.0,0.0,C6405,C6405_067.png
0.0,202.22539674441617,12.899494936611665,2.0,0.0,C6405,C6405_068.png
0.0,163.25483399593904,15.899494936611664,0.0,0.0,C6405,C6405_069.png
0.0,190.8111831820431,1.4142135623730951,0.0,0.0,C6405,C6405_070.png
0.0,179.46803743153546,5.82842712474619,0.0,0.0,C6405,C6405_071.png
0.0,217.61017305526642,28.97056274847714,0.0,0.0,C6405,C6405_072.png
0.0,175.8111831820431,18.14213562373095,0.0,0.0,C6405,C6405_073.png
0.0,197.78174593052023,3.82842712474619,0.0,0.0,C6405,C6405_074.png
0.0,162.25483399593904,1.4142135623730951,0.0,0.0,C6405,C6405_075.png
0.0,205.63961030678928,0.0,0.0,0.0,C6405,C6405_076.png
0.0,212.22539674441617,20.071067811865476,0.0,0.0,C6405,C6405_077.png
0.0,261.3380951166243,20.485281374238568,0.0,0.0,C6405,C6405_078.png
0.0,219.05382386916236,29.556349186104043,0.0,0.0,C6405,C6405_079.png
0.0,206.88225099390857,29.384776310850235,0.0,0.0,C6405,C6405_080.png
0.0,232.4386001800126,21.14213562373095,0.0,0.0,C6405,C6405_081.png
0.0,247.78174593052023,32.97056274847714,0.0,0.0,C6405,C6405_082.png
0.0,186.9827560572969,15.65685424949238,0.0,0.0,C6405,C6405_083.png
0.0,194.0538238691624,19.727922061357855,0.0,0.0,C6405,C6405_084.png
0.0,182.9827560572969,11.48528137423857,0.0,0.0,C6405,C6405_085.png
0.0,186.1543289325507,8.242640687119284,0.0,0.0,C6405,C6405_086.png
0.0,165.74011537017762,17.485281374238568,0.0,0.0,C6405,C6405_087.png
0.0,189.63961030678928,0.0,0.0,0.0,C6405,C6405_088.png
0.0,176.0538238691624,4.82842712474619,0.0,0.0,C6405,C6405_089.png
0.0,142.42640687119285,9.65685424949238,0.0,0.0,C6405,C6405_090.png
0.0,123.49747468305833,12.65685424949238,0.0,0.0,C6405,C6405_091.png
0.0,150.3259018078045,10.242640687119284,0.0,0.0,C6405,C6405_092.png
0.0,143.08326112068522,5.82842712474619,0.0,0.0,C6405,C6405_093.png
0.0,105.11269837220809,4.82842712474619,0.0,0.0,C6405,C6405_094.png
0.0,93.18376618407356,10.82842712474619,0.0,0.0,C6405,C6405_095.png
0.0,155.12489168102786,17.485281374238568,0.0,0.0,C6405,C6405_096.png
0.0,154.05382386916236,2.414213562373095,0.0,0.0,C6405,C6405_097.png
0.0,155.1543289325507,14.485281374238568,0.0,0.0,C6405,C6405_098.png
0.0,116.25483399593904,2.414213562373095,0.0,0.0,C6405,C6405_099.png
0.0,105.76955262170047,14.899494936611665,0.0,0.0,C6405,C6405_100.png
0.0,101.2842712474619,8.242640687119284,0.0,0.0,C6405,C6405_101.png
0.0,121.42640687119285,9.071067811865476,0.0,0.0,C6405,C6405_102.png
0.0,52.97056274847714,3.0,0.0,0.0,C6405,C6405_103.png
0.0,80.698484809835,8.242640687119284,0.0,0.0,C6405,C6405_104.png
0.0,79.04163056034261,0.0,0.0,0.0,C6405,C6405_105.png
0.0,70.87005768508881,12.242640687119284,0.0,0.0,C6405,C6405_106.png
0.0,21.31370849898476,0.0,0.0,0.0,C6405,C6405_107.png
0.0,9.82842712474619,0.0,0.0,0.0,C6405,C6405_108.png
0.0,7.82842712474619,0.0,0.0,0.0,C6405,C6405_109.png
0.0,2.0,0.0,0.0,0.0,C6405,C6405_110.png
0.0,1.0,0.0,0.0,0.0,C6405,C6405_111.png
0.0,2.0,0.0,0.0,0.0,C6405,C6405_112.png
