Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,6.0,0.0,0.0,0.0,S2307,S2307_004.png
0.0,1.4142135623730951,0.0,0.0,0.0,S2307,S2307_005.png
0.0,3.0,0.0,0.0,0.0,S2307,S2307_006.png
0.0,9.0,0.0,0.0,0.0,S2307,S2307_007.png
0.0,6.82842712474619,0.0,0.0,0.0,S2307,S2307_008.png
0.0,6.0,0.0,0.0,0.0,S2307,S2307_009.png
0.0,6.0,0.0,0.0,0.0,S2307,S2307_010.png
0.0,2.0,0.0,0.0,0.0,S2307,S2307_011.png
0.0,5.82842712474619,0.0,0.0,0.0,S2307,S2307_012.png
0.0,10.242640687119286,4.414213562373095,0.0,0.0,S2307,S2307_013.png
0.0,24.727922061357855,6.242640687119285,0.0,0.0,S2307,S2307_014.png
0.0,35.798989873223334,0.0,0.0,0.0,S2307,S2307_015.png
0.0,21.485281374238568,0.0,0.0,0.0,S2307,S2307_016.png
0.0,17.242640687119284,12.071067811865476,0.0,0.0,S2307,S2307_017.png
0.0,35.97056274847714,9.242640687119284,0.0,0.0,S2307,S2307_018.png
0.0,44.45584412271571,0.0,0.0,0.0,S2307,S2307_019.png
0.0,29.31370849898476,12.48528137423857,0.0,0.0,S2307,S2307_020.png
0.0,35.384776310850235,6.82842712474619,0.0,0.0,S2307,S2307_021.png
0.0,23.899494936611664,16.242640687119284,0.0,0.0,S2307,S2307_022.png
0.0,18.071067811865476,0.0,0.0,0.0,S2307,S2307_023.png
0.0,20.727922061357855,11.242640687119284,0.0,0.0,S2307,S2307_024.png
0.0,36.31370849898476,3.414213562373095,0.0,0.0,S2307,S2307_025.png
0.0,34.14213562373095,10.242640687119284,0.0,0.0,S2307,S2307_026.png
0.0,18.65685424949238,6.414213562373095,0.0,0.0,S2307,S2307_027.png
0.0,28.65685424949238,4.242640687119286,0.0,0.0,S2307,S2307_028.png
0.0,25.82842712474619,11.65685424949238,0.0,0.0,S2307,S2307_029.png
0.0,24.899494936611664,2.414213562373095,0.0,0.0,S2307,S2307_030.png
0.0,19.485281374238568,0.0,0.0,0.0,S2307,S2307_031.png
0.0,13.242640687119284,0.0,0.0,0.0,S2307,S2307_032.png
0.0,13.82842712474619,1.0,0.0,0.0,S2307,S2307_033.png
0.0,7.414213562373095,0.0,0.0,0.0,S2307,S2307_034.png
0.0,12.414213562373096,0.0,0.0,0.0,S2307,S2307_035.png
0.0,23.071067811865476,0.0,0.0,0.0,S2307,S2307_036.png
0.0,27.242640687119284,0.0,0.0,0.0,S2307,S2307_037.png
0.0,21.82842712474619,0.0,0.0,0.0,S2307,S2307_038.png
0.0,13.65685424949238,0.0,0.0,0.0,S2307,S2307_039.png
0.0,29.14213562373095,0.0,0.0,0.0,S2307,S2307_040.png
0.0,31.31370849898476,0.0,0.0,0.0,S2307,S2307_041.png
0.0,16.48528137423857,8.65685424949238,0.0,0.0,S2307,S2307_042.png
0.0,12.414213562373096,0.0,0.0,0.0,S2307,S2307_043.png
0.0,9.82842712474619,1.4142135623730951,0.0,0.0,S2307,S2307_044.png
0.0,12.82842712474619,3.414213562373095,0.0,0.0,S2307,S2307_045.png
0.0,20.485281374238568,0.0,0.0,0.0,S2307,S2307_046.png
0.0,8.414213562373096,5.414213562373095,0.0,0.0,S2307,S2307_047.png
0.0,10.414213562373096,7.82842712474619,0.0,0.0,S2307,S2307_048.png
0.0,16.242640687119284,0.0,0.0,0.0,S2307,S2307_049.png
0.0,25.727922061357855,6.656854249492381,0.0,0.0,S2307,S2307_050.png
0.0,14.485281374238571,2.8284271247461903,0.0,0.0,S2307,S2307_051.png
