soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,479,0.0,4238.922148450696,1235.273303427918,23.899494936611667,0.0
C2003,481,0.0,3396.824601980138,1079.5798692519663,15.65685424949238,0.0
C2609,467,0.0,4039.169839771699,1447.4103884177655,11.828427124746192,0.0
C2803,436,0.0,2784.290547370621,741.6610383315985,27.071067811865476,0.0
C5608,447,0.0,3910.9810229537425,1472.3098833543772,16.65685424949238,0.0
C6405,489,0.0,8813.218971944476,6168.0313806157965,347.0071426749364,65.45584412271572
S1510,490,0.0,5147.978064360912,3120.9334752077393,169.12489168102786,2.414213562373095
S1919,489,0.0,6361.453244467384,2837.7324650809624,40.14213562373095,0.0
S2307,469,0.0,3855.9494936611663,1514.0916292848974,22.899494936611664,1.0
S2403,449,0.0,4038.182033080519,1468.8073580374357,22.899494936611664,0.0
S3117,475,0.0,4496.223663640862,2075.5495654486663,101.42640687119285,0.0
S3603,463,0.0,3196.3565645486033,1237.7169542418137,25.656854249492383,2.414213562373095
