Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,1.0,0.0,0.0,0.0,C5608,C5608_020.png
0.0,6.414213562373095,0.0,0.0,0.0,C5608,C5608_021.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_022.png
0.0,1.4142135623730951,0.0,0.0,0.0,C5608,C5608_023.png
0.0,2.414213562373095,0.0,0.0,0.0,C5608,C5608_030.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_031.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_033.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_034.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_035.png
0.0,1.4142135623730951,0.0,0.0,0.0,C5608,C5608_046.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_047.png
0.0,6.242640687119286,0.0,0.0,0.0,C5608,C5608_054.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_055.png
0.0,4.82842712474619,0.0,0.0,0.0,C5608,C5608_056.png
0.0,4.82842712474619,0.0,0.0,0.0,C5608,C5608_057.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_065.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_067.png
0.0,4.414213562373095,0.0,0.0,0.0,C5608,C5608_069.png
0.0,10.071067811865476,0.0,0.0,0.0,C5608,C5608_081.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_082.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_090.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_091.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_092.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_100.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_101.png
0.0,1.4142135623730951,0.0,0.0,0.0,C5608,C5608_107.png
0.0,1.4142135623730951,0.0,0.0,0.0,C5608,C5608_112.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_116.png
0.0,3.0,0.0,0.0,0.0,C5608,C5608_117.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_119.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_125.png
0.0,3.0,0.0,0.0,0.0,C5608,C5608_126.png
0.0,2.414213562373095,0.0,0.0,0.0,C5608,C5608_128.png
0.0,1.4142135623730951,0.0,0.0,0.0,C5608,C5608_129.png
0.0,0.0,2.8284271247461903,0.0,0.0,C5608,C5608_138.png
0.0,0.0,1.4142135623730951,0.0,0.0,C5608,C5608_139.png
0.0,3.0,0.0,0.0,0.0,C5608,C5608_141.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_142.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_155.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_160.png
0.0,3.414213562373095,0.0,0.0,0.0,C5608,C5608_162.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_163.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_164.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_165.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_166.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_172.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_175.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_177.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_184.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_185.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_186.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_191.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_197.png
0.0,3.8284271247461903,0.0,0.0,0.0,C5608,C5608_200.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_201.png
0.0,1.4142135623730951,0.0,0.0,0.0,C5608,C5608_202.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_203.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_211.png
0.0,1.4142135623730951,0.0,0.0,0.0,C5608,C5608_212.png
0.0,1.4142135623730951,0.0,0.0,0.0,C5608,C5608_214.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_215.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_222.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_227.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_228.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_237.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_248.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_249.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_250.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_258.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_259.png
0.0,2.414213562373095,0.0,0.0,0.0,C5608,C5608_260.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_261.png
0.0,1.4142135623730951,0.0,0.0,0.0,C5608,C5608_262.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_269.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_272.png
0.0,3.0,0.0,0.0,0.0,C5608,C5608_273.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_274.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_280.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_282.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_283.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_284.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_285.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_286.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_292.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_293.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_294.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_306.png
0.0,1.4142135623730951,0.0,0.0,0.0,C5608,C5608_307.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_308.png
0.0,0.0,2.414213562373095,0.0,0.0,C5608,C5608_309.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_322.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_330.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_332.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_333.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_335.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_355.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_357.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_358.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_359.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_364.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_400.png
0.0,3.0,0.0,0.0,0.0,C5608,C5608_404.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_405.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_406.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_414.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_415.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_417.png
0.0,0.0,1.0,0.0,0.0,C5608,C5608_419.png
0.0,2.414213562373095,0.0,0.0,0.0,C5608,C5608_424.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_427.png
0.0,3.0,0.0,0.0,0.0,C5608,C5608_428.png
0.0,3.0,0.0,0.0,0.0,C5608,C5608_429.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_430.png
0.0,2.0,1.4142135623730951,0.0,0.0,C5608,C5608_431.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_432.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_438.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_439.png
0.0,2.414213562373095,0.0,0.0,0.0,C5608,C5608_440.png
0.0,3.414213562373095,0.0,0.0,0.0,C5608,C5608_441.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_442.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_443.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_450.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_452.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_453.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_454.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_455.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_462.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_464.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_465.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_466.png
0.0,3.0,0.0,0.0,0.0,C5608,C5608_467.png
0.0,1.4142135623730951,0.0,0.0,0.0,C5608,C5608_474.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_475.png
0.0,1.0,0.0,0.0,0.0,C5608,C5608_477.png
0.0,3.414213562373095,0.0,0.0,0.0,C5608,C5608_478.png
0.0,2.0,0.0,0.0,0.0,C5608,C5608_479.png
