Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,1.0,0.0,0.0,0.0,S1919,S1919_003.png
0.0,7.242640687119285,0.0,0.0,0.0,S1919,S1919_009.png
0.0,2.414213562373095,0.0,0.0,0.0,S1919,S1919_010.png
0.0,2.414213562373095,0.0,0.0,0.0,S1919,S1919_011.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_017.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_018.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_019.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_020.png
0.0,6.242640687119285,0.0,0.0,0.0,S1919,S1919_021.png
0.0,3.8284271247461903,0.0,0.0,0.0,S1919,S1919_022.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_023.png
0.0,2.414213562373095,0.0,0.0,0.0,S1919,S1919_034.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_035.png
0.0,2.8284271247461903,0.0,0.0,0.0,S1919,S1919_044.png
0.0,3.414213562373095,1.4142135623730951,0.0,0.0,S1919,S1919_045.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_046.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_047.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_048.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_054.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_057.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_058.png
0.0,5.414213562373095,0.0,0.0,0.0,S1919,S1919_059.png
0.0,2.414213562373095,0.0,0.0,0.0,S1919,S1919_064.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_067.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_068.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_069.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_081.png
0.0,2.414213562373095,0.0,0.0,0.0,S1919,S1919_082.png
0.0,3.0,0.0,0.0,0.0,S1919,S1919_083.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_088.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_089.png
0.0,2.414213562373095,0.0,0.0,0.0,S1919,S1919_090.png
0.0,3.0,0.0,0.0,0.0,S1919,S1919_091.png
0.0,5.0,0.0,0.0,0.0,S1919,S1919_092.png
0.0,3.0,1.4142135623730951,0.0,0.0,S1919,S1919_093.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_094.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_095.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_100.png
0.0,3.0,0.0,0.0,0.0,S1919,S1919_104.png
0.0,5.82842712474619,0.0,0.0,0.0,S1919,S1919_105.png
0.0,3.0,0.0,0.0,0.0,S1919,S1919_106.png
0.0,2.414213562373095,0.0,0.0,0.0,S1919,S1919_107.png
0.0,1.4142135623730951,0.0,0.0,0.0,S1919,S1919_114.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_115.png
0.0,3.414213562373095,0.0,0.0,0.0,S1919,S1919_116.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_118.png
0.0,5.82842712474619,0.0,0.0,0.0,S1919,S1919_119.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_128.png
0.0,0.0,1.4142135623730951,0.0,0.0,S1919,S1919_136.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_137.png
0.0,3.414213562373095,0.0,0.0,0.0,S1919,S1919_138.png
0.0,3.0,0.0,0.0,0.0,S1919,S1919_139.png
0.0,0.0,3.414213562373095,0.0,0.0,S1919,S1919_141.png
0.0,2.414213562373095,0.0,0.0,0.0,S1919,S1919_142.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_149.png
0.0,5.82842712474619,0.0,0.0,0.0,S1919,S1919_150.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_151.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_152.png
0.0,3.82842712474619,0.0,0.0,0.0,S1919,S1919_153.png
0.0,1.4142135623730951,0.0,0.0,0.0,S1919,S1919_154.png
0.0,1.4142135623730951,0.0,0.0,0.0,S1919,S1919_155.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_162.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_163.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_164.png
0.0,3.414213562373095,0.0,0.0,0.0,S1919,S1919_165.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_167.png
0.0,2.414213562373095,0.0,0.0,0.0,S1919,S1919_175.png
0.0,3.414213562373095,0.0,0.0,0.0,S1919,S1919_176.png
0.0,3.414213562373095,0.0,0.0,0.0,S1919,S1919_177.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_178.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_179.png
0.0,3.414213562373095,0.0,0.0,0.0,S1919,S1919_185.png
0.0,2.414213562373095,22.55634918610405,0.0,0.0,S1919,S1919_186.png
0.0,9.82842712474619,0.0,0.0,0.0,S1919,S1919_187.png
0.0,9.071067811865476,0.0,0.0,0.0,S1919,S1919_188.png
0.0,1.0,15.727922061357859,0.0,0.0,S1919,S1919_189.png
0.0,15.899494936611665,0.0,0.0,0.0,S1919,S1919_190.png
0.0,3.414213562373095,0.0,0.0,0.0,S1919,S1919_191.png
0.0,1.4142135623730951,0.0,0.0,0.0,S1919,S1919_198.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_200.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_201.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_202.png
0.0,3.82842712474619,0.0,0.0,0.0,S1919,S1919_203.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_208.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_210.png
0.0,2.414213562373095,0.0,0.0,0.0,S1919,S1919_211.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_212.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_213.png
0.0,2.8284271247461903,1.4142135623730951,0.0,0.0,S1919,S1919_214.png
0.0,0.0,2.8284271247461903,0.0,0.0,S1919,S1919_215.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_220.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_222.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_223.png
0.0,2.414213562373095,0.0,0.0,0.0,S1919,S1919_225.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_226.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_228.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_232.png
0.0,4.0,0.0,0.0,0.0,S1919,S1919_234.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_235.png
0.0,4.0,0.0,0.0,0.0,S1919,S1919_236.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_237.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_238.png
0.0,5.414213562373095,0.0,0.0,0.0,S1919,S1919_239.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_240.png
0.0,0.0,1.4142135623730951,0.0,0.0,S1919,S1919_244.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_245.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_247.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_248.png
0.0,4.0,0.0,0.0,0.0,S1919,S1919_249.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_250.png
0.0,1.4142135623730951,0.0,0.0,0.0,S1919,S1919_251.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_258.png
0.0,3.414213562373095,0.0,0.0,0.0,S1919,S1919_259.png
0.0,3.0,0.0,0.0,0.0,S1919,S1919_260.png
0.0,4.0,0.0,0.0,0.0,S1919,S1919_261.png
0.0,4.414213562373095,0.0,0.0,0.0,S1919,S1919_262.png
0.0,3.0,0.0,0.0,0.0,S1919,S1919_263.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_268.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_269.png
0.0,3.0,0.0,0.0,0.0,S1919,S1919_270.png
0.0,5.0,0.0,0.0,0.0,S1919,S1919_271.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_272.png
0.0,8.0,0.0,0.0,0.0,S1919,S1919_273.png
0.0,3.0,0.0,0.0,0.0,S1919,S1919_274.png
0.0,4.414213562373095,0.0,0.0,0.0,S1919,S1919_275.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_276.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_280.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_282.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_283.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_284.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_285.png
0.0,3.0,0.0,0.0,0.0,S1919,S1919_286.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_287.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_293.png
0.0,6.82842712474619,0.0,0.0,0.0,S1919,S1919_294.png
0.0,3.0,0.0,0.0,0.0,S1919,S1919_295.png
0.0,2.414213562373095,0.0,0.0,0.0,S1919,S1919_296.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_297.png
0.0,2.414213562373095,0.0,0.0,0.0,S1919,S1919_299.png
0.0,3.414213562373095,0.0,0.0,0.0,S1919,S1919_304.png
0.0,5.0,0.0,0.0,0.0,S1919,S1919_308.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_309.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_310.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_311.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_316.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_317.png
0.0,3.0,0.0,0.0,0.0,S1919,S1919_318.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_319.png
0.0,6.414213562373095,0.0,0.0,0.0,S1919,S1919_320.png
0.0,10.82842712474619,0.0,0.0,0.0,S1919,S1919_321.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_322.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_323.png
0.0,3.414213562373095,0.0,0.0,0.0,S1919,S1919_330.png
0.0,4.0,0.0,0.0,0.0,S1919,S1919_331.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_332.png
0.0,4.414213562373095,0.0,0.0,0.0,S1919,S1919_333.png
0.0,1.0,2.0,0.0,0.0,S1919,S1919_334.png
0.0,2.0,0.0,0.0,0.0,S1919,S1919_335.png
0.0,3.414213562373095,0.0,0.0,0.0,S1919,S1919_342.png
0.0,3.8284271247461903,0.0,0.0,0.0,S1919,S1919_343.png
0.0,4.414213562373095,0.0,0.0,0.0,S1919,S1919_344.png
0.0,6.82842712474619,0.0,0.0,0.0,S1919,S1919_345.png
0.0,4.0,0.0,0.0,0.0,S1919,S1919_346.png
0.0,3.414213562373095,0.0,0.0,0.0,S1919,S1919_347.png
0.0,1.0,0.0,0.0,0.0,S1919,S1919_352.png
0.0,3.0,0.0,0.0,0.0,S1919,S1919_353.png
