Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,1.0,0.0,0.0,0.0,C2003,C2003_017.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_018.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_019.png
0.0,2.0,0.0,0.0,0.0,C2003,C2003_020.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_034.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_035.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2003,C2003_047.png
0.0,2.414213562373095,0.0,0.0,0.0,C2003,C2003_048.png
0.0,1.4142135623730951,0.0,0.0,0.0,C2003,C2003_053.png
0.0,1.0,0.0,0.0,0.0,C2003,C2003_077.png
