Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px),folder,file
0.0,3.414213562373095,0.0,0.0,0.0,S3117,S3117_013.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_014.png
0.0,2.8284271247461903,0.0,0.0,0.0,S3117,S3117_028.png
0.0,2.414213562373095,0.0,0.0,0.0,S3117,S3117_029.png
0.0,3.0,0.0,0.0,0.0,S3117,S3117_030.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_032.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_039.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_079.png
0.0,2.0,0.0,0.0,0.0,S3117,S3117_081.png
0.0,2.414213562373095,0.0,0.0,0.0,S3117,S3117_082.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_091.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_096.png
0.0,1.0,0.0,0.0,0.0,S3117,S3117_097.png
0.0,2.414213562373095,0.0,0.0,0.0,S3117,S3117_098.png
0.0,1.4142135623730951,0.0,0.0,0.0,S3117,S3117_099.png
0.0,2.414213562373095,0.0,0.0,0.0,S3117,S3117_100.png
