soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,69,0.0,223.56854249492383,11.071067811865476,0.0,0.0
C2003,72,0.0,322.75230867899734,17.899494936611667,0.0,0.0
C2609,77,0.0,285.7817459305202,0.0,0.0,0.0
C2803,67,0.0,137.76955262170046,29.79898987322333,0.0,0.0
C5608,69,0.0,235.74011537017762,32.798989873223334,0.0,0.0
C6405,95,0.0,1019.6295090390227,110.5685424949238,0.0,0.0
S1510,84,0.0,449.35028842544403,69.5269119345812,0.0,0.0
S1919,92,0.0,728.5462479183373,36.55634918610404,0.0,0.0
S2307,85,0.0,648.2325394193526,49.94112549695428,0.0,0.0
S2403,77,0.0,366.8528137423857,23.727922061357855,0.0,0.0
S3117,90,0.0,510.6639969244287,99.63961030678928,0.0,0.0
S3603,68,0.0,274.40916292848976,23.556349186104043,0.0,0.0
