soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,108,0.0,19974.180510237686,4348.731598529185,61.89949493661167,0.0
C2003,94,0.0,14236.328204109574,4361.031021678298,59.55634918610404,0.0
C2609,106,0.0,21346.60186647499,7494.207137573156,91.11269837220809,0.0
C2803,108,0.0,16022.651147324552,2528.024745555138,15.414213562373096,0.0
C5608,105,0.0,18511.62798619619,3849.178207935912,47.48528137423857,0.0
C6405,109,0.0,16508.354682768266,3009.8653659887045,9.82842712474619,0.0
S1510,105,0.0,16862.601507537493,6331.739966693398,91.97056274847714,0.0
S1919,105,0.0,25974.251070435268,10564.594364862558,135.1126983722081,0.0
S2307,102,0.0,19119.840323080007,10101.318102841811,163.1837661840736,0.0
S2403,101,0.0,24755.227550369407,9102.534264870237,307.1076477383248,0.0
S3117,106,0.0,17483.667524715474,5013.941843371952,65.97056274847714,0.0
S3603,106,0.0,17484.58130500196,4211.246317154946,32.31370849898476,0.0
